상가업소번호,가게명,키워드,갯수
MA010120220811888332,힘이나는커피생활 성수3호점,좋다,28
MA010120220811888332,힘이나는커피생활 성수3호점,맛있다,19
MA010120220811888332,힘이나는커피생활 성수3호점,커피,17
MA010120220811888332,힘이나는커피생활 성수3호점,친절하다,10
MA010120220811888332,힘이나는커피생활 성수3호점,맛,10
MA010120220811888332,힘이나는커피생활 성수3호점,비,7
MA010120220811888332,힘이나는커피생활 성수3호점,가성,7
MA010120220811888332,힘이나는커피생활 성수3호점,음료,7
MA010120220811888332,힘이나는커피생활 성수3호점,저렴하다,6
MA010120220811888332,힘이나는커피생활 성수3호점,괜찮다,6
MA010120220811888332,힘이나는커피생활 성수3호점,아메리카노,5
MA010120220811888332,힘이나는커피생활 성수3호점,가격,5
MA010120220811888332,힘이나는커피생활 성수3호점,커피집,4
MA010120220811888332,힘이나는커피생활 성수3호점,분,4
MA010120220811888332,힘이나는커피생활 성수3호점,먹다,4
MA010120220811888332,힘이나는커피생활 성수3호점,가성 비,4
MA010120220811888332,힘이나는커피생활 성수3호점,나다,3
MA010120220811888332,힘이나는커피생활 성수3호점,매장,3
MA010120220811888332,힘이나는커피생활 성수3호점,많다,3
MA010120220811888332,힘이나는커피생활 성수3호점,힘,3
MA010120220804201549,힘이나는커피생활 성수2호점,맛있다,36
MA010120220804201549,힘이나는커피생활 성수2호점,좋다,32
MA010120220804201549,힘이나는커피생활 성수2호점,커피,30
MA010120220804201549,힘이나는커피생활 성수2호점,가성,16
MA010120220804201549,힘이나는커피생활 성수2호점,비,15
MA010120220804201549,힘이나는커피생활 성수2호점,맛,10
MA010120220804201549,힘이나는커피생활 성수2호점,친절하다,10
MA010120220804201549,힘이나는커피생활 성수2호점,저렴하다,10
MA010120220804201549,힘이나는커피생활 성수2호점,음료,8
MA010120220804201549,힘이나는커피생활 성수2호점,가성 비,8
MA010120220804201549,힘이나는커피생활 성수2호점,직원,7
MA010120220804201549,힘이나는커피생활 성수2호점,커피 가,7
MA010120220804201549,힘이나는커피생활 성수2호점,가격,7
MA010120220804201549,힘이나는커피생활 성수2호점,카페,6
MA010120220804201549,힘이나는커피생활 성수2호점,요,6
MA010120220804201549,힘이나는커피생활 성수2호점,먹다,5
MA010120220804201549,힘이나는커피생활 성수2호점,분,5
MA010120220804201549,힘이나는커피생활 성수2호점,이나,5
MA010120220804201549,힘이나는커피생활 성수2호점,점심,5
MA010120220804201549,힘이나는커피생활 성수2호점,힘,5
MA010120220804204344,힘냉면록,맛있다,27
MA010120220804204344,힘냉면록,좋다,11
MA010120220804204344,힘냉면록,먹다,6
MA010120220804204344,힘냉면록,냉면,5
MA010120220804204344,힘냉면록,너무,5
MA010120220804204344,힘냉면록,친절하다,4
MA010120220804204344,힘냉면록,분,3
MA010120220804204344,힘냉면록,맛있다 먹다,3
MA010120220804204344,힘냉면록,물냉면,3
MA010120220804204344,힘냉면록,버섯,3
MA010120220804204344,힘냉면록,만두,3
MA010120220804204344,힘냉면록,두,3
MA010120220804204344,힘냉면록,가격,2
MA010120220804204344,힘냉면록,가성,2
MA010120220804204344,힘냉면록,근데,2
MA010120220804204344,힘냉면록,깔끔하다,2
MA010120220804204344,힘냉면록,냉면 맛있다,2
MA010120220804204344,힘냉면록,남자,2
MA010120220804204344,힘냉면록,고,2
MA010120220804204344,힘냉면록,없다,2
MA010120220814395136,히즈빈스 성수점,좋다,40
MA010120220814395136,히즈빈스 성수점,맛있다,35
MA010120220814395136,히즈빈스 성수점,커피,22
