상가업소번호,가게명,키워드,갯수
3301,정육면체,13000원,1.0
3301,정육면체,가성비 좋은,1.0
3301,정육면체,감칠맛,1.0
3301,정육면체,강렬한 맛,1.0
3301,정육면체,견과류,1.0
3301,정육면체,고소한,2.0
3301,정육면체,고소한 초유린기,1.0
3301,정육면체,고추기름,1.0
3301,정육면체,기대한,2.0
3301,정육면체,땅콩,2.0
3301,정육면체,마라,2.0
3301,정육면체,맛있는,3.0
3301,정육면체,맛집,2.0
3301,정육면체,면,1.0
3301,정육면체,뻑뻑,2.0
3301,정육면체,소스,1.0
3301,정육면체,웨이팅,3.0
3301,정육면체,탄탄면,3.0
3301,정육면체,향,2.0
3301,정육면체,화쟈오,1.0
3305,또보겠지떡볶이집 신촌히어로점,갈릭,7.0
3305,또보겠지떡볶이집 신촌히어로점,감자,6.0
3305,또보겠지떡볶이집 신촌히어로점,감자튀김,3.0
3305,또보겠지떡볶이집 신촌히어로점,기분 좋은,4.0
3305,또보겠지떡볶이집 신촌히어로점,날치,3.0
3305,또보겠지떡볶이집 신촌히어로점,날치알볶음밥,2.0
3305,또보겠지떡볶이집 신촌히어로점,떡볶이,16.0
3305,또보겠지떡볶이집 신촌히어로점,맛있는,36.0
3305,또보겠지떡볶이집 신촌히어로점,맛있는 버터갈릭감자튀김,4.0
3305,또보겠지떡볶이집 신촌히어로점,맛있는 볶음밥,2.0
3305,또보겠지떡볶이집 신촌히어로점,매운,3.0
3305,또보겠지떡볶이집 신촌히어로점,버터,8.0
3305,또보겠지떡볶이집 신촌히어로점,버터갈릭,6.0
3305,또보겠지떡볶이집 신촌히어로점,버터갈릭감자튀김,4.0
3305,또보겠지떡볶이집 신촌히어로점,볶음밥,16.0
3305,또보겠지떡볶이집 신촌히어로점,소스,2.0
3305,또보겠지떡볶이집 신촌히어로점,신촌떡볶이,2.0
3305,또보겠지떡볶이집 신촌히어로점,아쉽다,3.0
3305,또보겠지떡볶이집 신촌히어로점,적당한,2.0
3305,또보겠지떡볶이집 신촌히어로점,추천,3.0
3305,또보겠지떡볶이집 신촌히어로점,치즈,4.0
3305,또보겠지떡볶이집 신촌히어로점,친절한,9.0
3305,또보겠지떡볶이집 신촌히어로점,친절한 맛있는,2.0
3305,또보겠지떡볶이집 신촌히어로점,튀김,8.0
3305,또보겠지떡볶이집 신촌히어로점,포장,4.0
3307,피망과토마토,1인 1잔,1.0
3307,피망과토마토,1잔 필수,1.0
3307,피망과토마토,3차,1.0
3307,피망과토마토,가성비,1.0
3307,피망과토마토,고양이,7.0
3307,피망과토마토,귀여운,3.0
3307,피망과토마토,귀여운 고양이,1.0
3307,피망과토마토,기분 나쁜,1.0
3307,피망과토마토,냉동만두,1.0
3307,피망과토마토,다양한,3.0
3307,피망과토마토,다양한 맥주,2.0
3307,피망과토마토,맛있는,3.0
3307,피망과토마토,맥주,5.0
3307,피망과토마토,분위기,2.0
3307,피망과토마토,술집,2.0
3307,피망과토마토,안주,4.0
3307,피망과토마토,토마토,2.0
3307,피망과토마토,피망,2.0
3318,탈리,넓은,9.0
3318,탈리,대파,7.0
3318,탈리,맛있는,116.0
3318,탈리,맛있는 베이글,15.0
3318,탈리,맛있는 커피,5.0
3318,탈리,맛집,9.0
3318,탈리,바질,8.0
3318,탈리,베이글,83.0
3318,탈리,분위기,40.0
3318,탈리,분위기 좋은,18.0
3318,탈리,브런치,20.0
3318,탈리,살몬,6.0
3318,탈리,샌드위치,14.0
3318,탈리,소스,6.0
3318,탈리,연어,9.0
3318,탈리,예쁜,12.0
3318,탈리,인테리어,17.0
3318,탈리,잠봉뵈르,13.0
3318,탈리,추천,8.0
3318,탈리,치즈,20.0
3318,탈리,친절한,8.0
3318,탈리,커피,23.0
3318,탈리,크림,20.0
3318,탈리,크림 치즈,16.0
3318,탈리,플러피에그,7.0
3320,공릉닭한마리,가족 애기,1.0
3320,공릉닭한마리,가족이랑,2.0
3320,공릉닭한마리,간만 닭 한마리,1.0
3320,공릉닭한마리,계란,2.0
3320,공릉닭한마리,국물,3.0
3320,공릉닭한마리,김치,2.0
3320,공릉닭한마리,닭,7.0
3320,공릉닭한마리,맛있는,22.0
3320,공릉닭한마리,맛집,4.0
3320,공릉닭한마리,물김치,3.0
3320,공릉닭한마리,소스,3.0
3320,공릉닭한마리,신선한,2.0
3320,공릉닭한마리,육수,3.0
