상가업소번호,가게명,키워드,갯수,행정동,업종,리뷰
MA010120220812366544,희 사블레,사블레,10.0,가회동,카페,여기 사블레 정말 너무 맛있었어요! 풍미가 대단해요. 모든 맛이 기본적으로 훌륭한 버터풍미에 입에서 사르륵 녹아요. 앉은 자리에서 다섯개 순삭... 차라리 돼지가 되고 말지 하는 행복한 맛이에요! 전 너무 맛있어서 어린이집 감사 선물로도 세박스 샀는데... 포장도 굿이고 정말 센스 있어 보여서 만족했어요! 사장님번창하세요!
MA010120220812366544,희 사블레,귀여운,5.0,가회동,카페,계동에 가끔 놀러가는데 갈때마다 생각나서 꼭꼭 들르는 집이에요 다크초코 치즈 소금맛 제가 넘 좋아하는 버터가득한 샤블레 먹을때마다 정말 행복해요??포장도 귀엽고 예쁘던데 다음에는 선물용으로도 사려구요 친절한 사장님번창하세요!!!
MA010120220812366544,희 사블레,맛있는,5.0,가회동,카페,여기 사블레 정말 너무 맛있었어요! 풍미가 대단해요. 모든 맛이 기본적으로 훌륭한 버터풍미에 입에서 사르륵 녹아요. 앉은 자리에서 다섯개 순삭... 차라리 돼지가 되고 말지 하는 행복한 맛이에요! 전 너무 맛있어서 어린이집 감사 선물로도 세박스 샀는데... 포장도 굿이고 정말 센스 있어 보여서 만족했어요! 사장님번창하세요!
MA010120220812366544,희 사블레,사장님,5.0,가회동,카페,계동에 가끔 놀러가는데 갈때마다 생각나서 꼭꼭 들르는 집이에요 다크초코 치즈 소금맛 제가 넘 좋아하는 버터가득한 샤블레 먹을때마다 정말 행복해요??포장도 귀엽고 예쁘던데 다음에는 선물용으로도 사려구요 친절한 사장님번창하세요!!!
MA010120220812366544,희 사블레,바닐라,4.0,가회동,카페,"코코넛, 진저시나몬, 바닐라, 다크초코 다 맛있네요. 다음엔 다른 맛도 먹어보고 싶어요ㅎㅎ"
MA010120220812366544,희 사블레,포장,4.0,가회동,카페,계동에 가끔 놀러가는데 갈때마다 생각나서 꼭꼭 들르는 집이에요 다크초코 치즈 소금맛 제가 넘 좋아하는 버터가득한 샤블레 먹을때마다 정말 행복해요??포장도 귀엽고 예쁘던데 다음에는 선물용으로도 사려구요 친절한 사장님번창하세요!!!
MA010120220812366544,희 사블레,코코넛,4.0,가회동,카페,"사블레가 너무 맛있네요! 코코넛 맛이랑 치즈 맛 정말 맛있다 요~ 그간 디저트집은 여기저기 많이 다녀봤지만, 사블레로 이렇게 다양한 맛을 트라이 해 본 곳이 여기가 처음이었는데;: 각설하고 진짜 맛있다 니다! 강추!"
MA010120220812366544,희 사블레,치즈,4.0,가회동,카페,계동에 가끔 놀러가는데 갈때마다 생각나서 꼭꼭 들르는 집이에요 다크초코 치즈 소금맛 제가 넘 좋아하는 버터가득한 샤블레 먹을때마다 정말 행복해요??포장도 귀엽고 예쁘던데 다음에는 선물용으로도 사려구요 친절한 사장님번창하세요!!!
MA010120220812366544,희 사블레,초코,4.0,가회동,카페,계동에 가끔 놀러가는데 갈때마다 생각나서 꼭꼭 들르는 집이에요 다크초코 치즈 소금맛 제가 넘 좋아하는 버터가득한 샤블레 먹을때마다 정말 행복해요??포장도 귀엽고 예쁘던데 다음에는 선물용으로도 사려구요 친절한 사장님번창하세요!!!
MA010120220812366544,희 사블레,인테리어,4.0,가회동,카페,제가 먹어본 사블레 중에 단연 최고입니다 너무너무 맛있어요???? 인테리어도 아기자기한게 귀여워요>.<
1112,후스테이블,피자,12.0,가회동,서양식,골목에 있는 피자맛집요 인테리어도 잘꾸며져 있어요
1112,후스테이블,맛집,7.0,가회동,서양식,10년째 변함없는 맛집입니다 10년전 후스테이블 근처에 살아서 자주 왔었고 원서동을 어쩌다 한번씩 아이들과 방문하면 찾아가서 먹는곳입니다 인테리어도 맛도 분위기도 한결같아요 뱃속에서 먹었던 맛을 기억하는지 아이들이 커서도후스테이블을 좋아합니다 오래오래 그자리에 있길 바래요
1112,후스테이블,맛있는,5.0,가회동,서양식,음식이 전반적으로 다 맛있어요. 갈때마다 친절함을 느껴요!!
1112,후스테이블,인테리어,4.0,가회동,서양식,10년째 변함없는 맛집입니다 10년전 후스테이블 근처에 살아서 자주 왔었고 원서동을 어쩌다 한번씩 아이들과 방문하면 찾아가서 먹는곳입니다 인테리어도 맛도 분위기도 한결같아요 뱃속에서 먹었던 맛을 기억하는지 아이들이 커서도후스테이블을 좋아합니다 오래오래 그자리에 있길 바래요
