상가업소번호,키워드,행정동,업종,리뷰,가게명,갯수
MA010120220811888332,커피,성수2가제1동,카페,2샷인데도 불구하고 엄청찐하고 달달합니다~~~ 당충전원하는데 커피도먹고싶다 하시는분들한테 추천합니다~~~^^,힘이나는커피생활 성수3호점,20.0
MA010120220811888332,맛있는,성수2가제1동,카페,뱅쇼가 처음이라 맛있는지는 모르지만 괜찮았습니다.,힘이나는커피생활 성수3호점,19.0
MA010120220811888332,가성비,성수2가제1동,카페,가성비 좋고 양이 많아서 좋아요 몇시간동안 두고 먹을수 있어요,힘이나는커피생활 성수3호점,11.0
MA010120220811888332,친절한,성수2가제1동,카페,직원분이친절해요,힘이나는커피생활 성수3호점,10.0
MA010120220811888332,음료,성수2가제1동,카페,매장이 청결하고 음료 맛이 괜찮습니다,힘이나는커피생활 성수3호점,7.0
MA010120220811888332,저렴한,성수2가제1동,카페,"아메리카노 1500원에 테이크아웃 했어요! 보통 가성비 커피들은 조금 맛 없는 게 일반적인데 힘이나는 커피생활은 저렴한 가격에도 커피 맛이 괜찮아서 자주 사 마셔요~ 기본 아메리카노도 힘(산미x) 이랑 이나(산미o)로 원두 선택할 수 있는 점도 너무 좋습니다ㅎㅎ  주로 아아 또는 뜨아를 먹기는 하지만 메뉴가 다양해서 다른 거 먹고싶은 날 시그니처() 메뉴 도전할 수도 있고, 디저트 종류도 나름 다양한 편이라 좋아요.",힘이나는커피생활 성수3호점,6.0
MA010120220811888332,아메리카노,성수2가제1동,카페,아메리카노 힘 좋아요,힘이나는커피생활 성수3호점,5.0
MA010120220811888332,가성비 커피,성수2가제1동,카페,가성비 짱!  커피 왕 큰것도 있고 다른 음료도 맛있어요,힘이나는커피생활 성수3호점,4.0
MA010120220811888332,가성비 좋은,성수2가제1동,카페,가성비 좋아요,힘이나는커피생활 성수3호점,3.0
MA010120220811888332,라떼,성수2가제1동,카페,헤이즐라떼 샷 추가 강추 피곤할땐 가끔 당기는 이 맛,힘이나는커피생활 성수3호점,2.0
MA010120220804201549,맛있는,성수2가제1동,카페,아아가 맛있습니다.!,힘이나는커피생활 성수2호점,38.0
MA010120220804201549,커피,성수2가제1동,카페,저렴하고 커피맛도 좋아요,힘이나는커피생활 성수2호점,36.0
MA010120220804201549,가성비,성수2가제1동,카페,가성비굿,힘이나는커피생활 성수2호점,24.0
MA010120220804201549,저렴한,성수2가제1동,카페,음료도 저렴하고 맛있어요 다음에 또 오고싶은 곳이네요~!!,힘이나는커피생활 성수2호점,10.0
MA010120220804201549,친절한,성수2가제1동,카페,바쁘신데 친절해서 좋아여,힘이나는커피생활 성수2호점,10.0
MA010120220804201549,맛있는 커피,성수2가제1동,카페,커피가 맛있어용,힘이나는커피생활 성수2호점,9.0
MA010120220804201549,음료,성수2가제1동,카페,음료메뉴가 다양해요~ 자리도 앉아서 대화하기 좋아요,힘이나는커피생활 성수2호점,8.0
MA010120220804201549,점심,성수2가제1동,카페,맛은 가격만치하네요! 점심시간에 자주 이용해요,힘이나는커피생활 성수2호점,5.0
MA010120220804201549,가성비 좋은,성수2가제1동,카페,가성비 좋은 커피!,힘이나는커피생활 성수2호점,5.0
MA010120220804201549,아메리카노,성수2가제1동,카페,아메리카노,힘이나는커피생활 성수2호점,4.0
MA010120220804204344,맛있는,성수1가제2동,한식,성수치고는 가격 괜찮은 편이고 혼밥하기좋고 맛있어요,힘냉면록,29.0
MA010120220804204344,냉면,성수1가제2동,한식,종로의 많은 xx면옥 스타일의 전형적인 함흥냉면. 한번쯤은 먹어봤을 딱 아는 전문점의 그 함흥냉면 맛. 기본기는 있다.,힘냉면록,5.0
MA010120220804204344,친절한,성수1가제2동,한식,음식은 너무 맛잇어요 일하시는분 남자분은 친절한데 여자분은 화가낫는지 대답도없도 툭툭 기분나쁘네요,힘냉면록,4.0
MA010120220804204344,깨끗한,성수1가제2동,한식,맛있어서 사진 찍는 걸 깜빡했네여... 맛있고 친절하고 깨끗해요 맛집입니당!!!,힘냉면록,3.0
MA010120220804204344,만두,성수1가제2동,한식,"날씨가 쌀쌀해지면 맑은 버섯만두탕 먹으러 종종 옵니다. 큼지막한 만두 2개 간장 콕 찍어 청양고추 하나씩 올려 먹고, 버섯과 당면도 간장 살짝 곁들어 먹은 후, 국물에 밥 말아서 먹으면 달짝지근 고소함이 최고입니다.",힘냉면록,3.0
MA010120220804204344,물냉면,성수1가제2동,한식,"물냉면 시원, 왕만두 맛있어요  1인 수육세트 좋아요",힘냉면록,3.0
MA010120220804204344,버섯,성수1가제2동,한식,"날씨가 쌀쌀해지면 맑은 버섯만두탕 먹으러 종종 옵니다. 큼지막한 만두 2개 간장 콕 찍어 청양고추 하나씩 올려 먹고, 버섯과 당면도 간장 살짝 곁들어 먹은 후, 국물에 밥 말아서 먹으면 달짝지근 고소함이 최고입니다.",힘냉면록,3.0
MA010120220804204344,가성비,성수1가제2동,한식,가성비 좋은 냉면집입니다.,힘냉면록,2.0
MA010120220804204344,맛있는 냉면,성수1가제2동,한식,냉면 맛있어요.,힘냉면록,2.0
MA010120220804204344,맛있는 만두,성수1가제2동,한식,생각보다 맛있어요 만두도 냉면도~~~,힘냉면록,2.0
MA010120220814395136,맛있는,성수1가제1동,카페,맛있게 잘 먹었어요,히즈빈스 성수점,35.0
MA010120220814395136,커피,성수1가제1동,카페,커피 맛잇어요,히즈빈스 성수점,30.0
MA010120220814395136,넓은,성수1가제1동,카페,매장이 넓고 대화하기 좋습니다.,히즈빈스 성수점,
