상가업소번호,가게명,키워드,갯수,행정동,업종,리뷰
MA010120220806481772,101번지남산돈까스 현대백화점 신촌점,친절한,2.0,신촌동,서양식,친절하고 맛있어요
MA010120220806481772,101번지남산돈까스 현대백화점 신촌점,비싼,2.0,신촌동,서양식,오랜만에 남산돈까스 먹었어요! 비싸졌는데 양이 좀 줄어든것 같아서아쉬워요
MA010120220806481772,101번지남산돈까스 현대백화점 신촌점,돈까스,11.0,신촌동,서양식,오랜만에 남산돈까스 먹었어요!  비싸졌는데 양이 좀 줄어든것 같아서아쉬워요 ㅜㅠ
MA010120220806481772,101번지남산돈까스 현대백화점 신촌점,백화점,3.0,신촌동,서양식,"식품위생법 위반으로 신고가 되나 알아보고 있어요. 위생 관념, 서비스 최악이네요. 매장에서 먹다가 너무 많이 남아서 포장해 달라고 했는데 용기 하나 던져 주면서 직접 포장하라고 한 곳은 처음 봤습니다. 덕분에 먹던 포크로 하나하나 집어서 용기에 넣었구요. 기분이 참 더럽더라구요. 다른 데는 비위생적이라 일부러 그렇게 포장 안 해주는데, 여기는 원래 그렇다고 하더라고요.  그런 위생개념으로 무슨 음식장사를 하시죠 더러워서 진짜.. 서비스 차원에서도 그러면 안 되죠. 현대백화점 고객상담실에도 이야기했는데 고쳐지면 다행이지. 다른 음식은 안 더럽나 모르겠네요. 어휴 더러워 진짜.  진짜 더러워 이런 서비스는 난생 처음이에요"
MA010120220806481772,101번지남산돈까스 현대백화점 신촌점,더러운,2.0,신촌동,서양식,"식품위생법 위반으로 신고가 되나 알아보고 있어요. 위생 관념, 서비스 최악이네요. 매장에서 먹다가 너무 많이 남아서 포장해 달라고 했는데 용기 하나 던져 주면서 직접 포장하라고 한 곳은 처음 봤습니다. 덕분에 먹던 포크로 하나하나 집어서 용기에 넣었구요. 기분이 참 더럽더라구요. 다른 데는 비위생적이라 일부러 그렇게 포장 안 해주는데, 여기는 원래 그렇다고 하더라고요.  그런 위생개념으로 무슨 음식장사를 하시죠 더러워서 진짜.. 서비스 차원에서도 그러면 안 되죠. 현대백화점 고객상담실에도 이야기했는데 고쳐지면 다행이지. 다른 음식은 안 더럽나 모르겠네요. 어휴 더러워 진짜.  진짜 더러워 이런 서비스는 난생 처음이에요"
MA010120220806481772,101번지남산돈까스 현대백화점 신촌점,포장,2.0,신촌동,서양식,"식품위생법 위반으로 신고가 되나 알아보고 있어요. 위생 관념, 서비스 최악이네요. 매장에서 먹다가 너무 많이 남아서 포장해 달라고 했는데 용기 하나 던져 주면서 직접 포장하라고 한 곳은 처음 봤습니다. 덕분에 먹던 포크로 하나하나 집어서 용기에 넣었구요. 기분이 참 더럽더라구요. 다른 데는 비위생적이라 일부러 그렇게 포장 안 해주는데, 여기는 원래 그렇다고 하더라고요.  그런 위생개념으로 무슨 음식장사를 하시죠 더러워서 진짜.. 서비스 차원에서도 그러면 안 되죠. 현대백화점 고객상담실에도 이야기했는데 고쳐지면 다행이지. 다른 음식은 안 더럽나 모르겠네요. 어휴 더러워 진짜.  진짜 더러워 이런 서비스는 난생 처음이에요"
MA010120220806481772,101번지남산돈까스 현대백화점 신촌점,매운,2.0,신촌동,서양식,매운돈가스 넘 매워요.절반 남겼네요.담엔 그냥 돈가스 먹어야겠어요.돈가스 넘좋아~
MA010120220806481772,101번지남산돈까스 현대백화점 신촌점,고기,2.0,신촌동,서양식,고기 먹고 싶을때 타월한 선택 현대함박!
MA010120220806481772,101번지남산돈까스 현대백화점 신촌점,간단한,2.0,신촌동,서양식,간단하게 식사하기 좋아요
MA010120220806481772,101번지남산돈까스 현대백화점 신촌점,맛있는,8.0,신촌동,서양식,가격이 조금 비싸지만 맛있어요
MA0101202210A0091227,108장 마라탕,마라탕,4.0,신촌동,중식,이 근방마라탕중에소스배합이 젤 제 취향이에요. 맛있어서 자주올듯합니당
MA0101202210A0091227,108장 마라탕,소스,2.0,신촌동,중식,이 근방마라탕중에소스배합이 젤 제 취향이에요. 맛있어서 자주올듯합니당
MA0101202210A0091227,108장 마라탕,맛있는,4.0,신촌동,중식,샹궈 역시 넘 맛있어요~
MA0101202210A0091227,108장 마라탕,마라 중독,1.0,신촌동,중식,마라중독자인데 맛있네유ㅠㅜㅜㅜㅜㅠㅠㅜㅜㅠ3단계 적당히 맵고 맛있음
