행정동,업종,키워드,갯수
신촌동,한식,맛있는,127
신촌동,한식,친절한,58
신촌동,한식,가성비,20
신촌동,한식,볶음밥,10
신촌동,한식,반찬,9
신촌동,한식,깔끔한,8
신촌동,한식,저렴한,8
신촌동,한식,냉면,5
신촌동,한식,분위기,5
신촌동,한식,갈비,5
신촌동,패스트푸드,맛있는,17
신촌동,패스트푸드,치킨,4
신촌동,패스트푸드,피자,4
신촌동,패스트푸드,친절한,3
신촌동,패스트푸드,할인,3
신촌동,패스트푸드,넓은,2
신촌동,패스트푸드,깨끗한,2
신촌동,패스트푸드,감자튀김,2
신촌동,패스트푸드,가성비,2
신촌동,패스트푸드,이벤트,2
신촌동,카페,맛있는,99
신촌동,카페,친절한,50
신촌동,카페,커피,29
신촌동,카페,분위기,15
신촌동,카페,인테리어,10
신촌동,카페,케이크,9
신촌동,카페,넓은,9
신촌동,카페,빵,8
신촌동,카페,요거트,5
신촌동,카페,공부하기 좋은,4
신촌동,중식,맛있는,24
신촌동,중식,마라탕,10
신촌동,중식,친절한,9
신촌동,중식,꿔바로우,6
신촌동,중식,깔끔한,5
신촌동,중식,신선한,3
신촌동,중식,탕수육,3
신촌동,중식,양꼬치,2
신촌동,중식,직원,2
신촌동,중식,우육면,2
신촌동,주점,맛있는,35
신촌동,주점,친절한,21
신촌동,주점,안주,17
신촌동,주점,분위기,14
신촌동,주점,칵테일,9
신촌동,주점,사장님,8
신촌동,주점,막걸리,5
신촌동,주점,소주,3
신촌동,주점,화장실,2
신촌동,주점,포차,1
신촌동,일식,맛있는,37
신촌동,일식,친절한,17
신촌동,일식,초밥,7
신촌동,일식,가성비,6
신촌동,일식,돈까스,5
신촌동,일식,카레,4
신촌동,일식,혼밥,4
신촌동,일식,소스,4
신촌동,일식,혼밥하기 좋은,3
신촌동,일식,사케,3
신촌동,서양식,맛있는,30
신촌동,서양식,친절한,13
신촌동,서양식,파스타,10
신촌동,서양식,분위기,7
신촌동,서양식,가성비,4
신촌동,서양식,아쉬운,4
신촌동,서양식,예쁜,4
신촌동,서양식,인테리어,4
신촌동,서양식,스테이크,3
신촌동,서양식,할인,2
