상가업소번호,가게명,키워드,갯수
1100,소금집델리 안국,굿굿굿,26
1100,소금집델리 안국,기다리다,23
1100,소금집델리 안국,느낌,11
1100,소금집델리 안국,당근,13
1100,소금집델리 안국,마쥬,13
1100,소금집델리 안국,맛,41
1100,소금집델리 안국,맛있다,107
1100,소금집델리 안국,맛집,16
1100,소금집델리 안국,매장,11
1100,소금집델리 안국,바게트,20
1100,소금집델리 안국,버터,17
1100,소금집델리 안국,샌드위치,40
1100,소금집델리 안국,소금집,21
1100,소금집델리 안국,웨이팅,35
1100,소금집델리 안국,잠봉뵈르,91
1100,소금집델리 안국,잠봉뵈르 맛있다,6
1100,소금집델리 안국,주말,11
1100,소금집델리 안국,짜다,11
1100,소금집델리 안국,친절하다,14
1100,소금집델리 안국,평일,13
1100,소금집델리 안국,포장,32
1100,소금집델리 안국,햄,23
1100,소금집델리안국점,감자,2
1100,소금집델리안국점,감자 선택,1
1100,소금집델리안국점,감자 중,1
1100,소금집델리안국점,감자튀김 랑,1
1100,소금집델리안국점,감자튀김 랑 당 근 샐러드랑,1
1100,소금집델리안국점,괜찮다,2
1100,소금집델리안국점,괜찮다 잠봉뵈르,1
1100,소금집델리안국점,굉장하다,2
1100,소금집델리안국점,굉장하다 어울리다,1
1100,소금집델리안국점,기다리다,2
1100,소금집델리안국점,기다리다 먹다  당근,1
1100,소금집델리안국점,나오다  나오다 크로크마담,1
1100,소금집델리안국점,너무 맛있는 움,1
1100,소금집델리안국점,당 근 샐러드랑,1
1100,소금집델리안국점,당 근 샐러드랑 콜라,1
1100,소금집델리안국점,당근,2
1100,소금집델리안국점,당근 감자 중,1
1100,소금집델리안국점,따뜻하다,2
1100,소금집델리안국점,따뜻하다 바삭,1
1100,소금집델리안국점,많이 먹다,1
1100,소금집델리안국점,말다 날,1
1100,소금집델리안국점,말다 날 가기,1
1100,소금집델리안국점,맛,3
1100,소금집델리안국점,맛 바게트,1
1100,소금집델리안국점,맛있는  맛있는 패션후르츠,1
1100,소금집델리안국점,맛있는 갈다,1
1100,소금집델리안국점,맛있는 맛있다,1
1100,소금집델리안국점,맛있는 맥주,1
1100,소금집델리안국점,맛있는 맥주 말다 날  맛있다,1
1100,소금집델리안국점,맛있는 비싸다,1
1100,소금집델리안국점,맛있는 움,1
1100,소금집델리안국점,맛있다,6
1100,소금집델리안국점,맛집 이르다,1
1100,소금집델리안국점,맛집 이르다 방문,1
1100,소금집델리안국점,맥주,4
1100,소금집델리안국점,먹기 에는  먹기 에는 좋다,1
1100,소금집델리안국점,먹다 괜찮다,1
1100,소금집델리안국점,바게트,2
1100,소금집델리안국점,바삭,2
1100,소금집델리안국점,방문,2
1100,소금집델리안국점,버터,3
1100,소금집델리안국점,비싸다,2
1100,소금집델리안국점,빨리,2
1100,소금집델리안국점,사오다,2
1100,소금집델리안국점,사이드,2
1100,소금집델리안국점,샌드위치,2
1100,소금집델리안국점,샐러드랑,2
1100,소금집델리안국점,선택,2
