행정동,업종,키워드,카운트
신촌동,한식,맛있는,145
신촌동,한식,친절한,54
신촌동,한식,고기,28
신촌동,한식,가성비,23
신촌동,한식,깔끔한,10
신촌동,한식,많은 양,10
신촌동,한식,김치,10
신촌동,한식,매장,9
신촌동,한식,포장,5
신촌동,한식,점심,5
신촌동,패스트푸드,맛있는,21
신촌동,패스트푸드,친절한,10
신촌동,패스트푸드,피자,6
신촌동,패스트푸드,가성비,6
신촌동,패스트푸드,치킨,4
신촌동,패스트푸드,포장,2
신촌동,패스트푸드,햄버거,2
신촌동,패스트푸드,튀김,2
신촌동,패스트푸드,넓은,1
신촌동,패스트푸드,깨끗한,1
신촌동,카페,맛있는,110
신촌동,카페,커피,43
신촌동,카페,친절한,40
신촌동,카페,음료,22
신촌동,카페,분위기,19
신촌동,카페,디저트,14
신촌동,카페,공부,10
신촌동,카페,넓은,9
신촌동,카페,다양한,7
신촌동,카페,요거트,4
신촌동,중식,맛있는,32
신촌동,중식,마라탕,12
신촌동,중식,친절한,11
신촌동,중식,탕수육,8
신촌동,중식,짬뽕,7
신촌동,중식,깔끔한,4
신촌동,중식,국물,4
신촌동,중식,꼬치,4
신촌동,중식,신선한,4
신촌동,중식,깨끗한,3
신촌동,주점,맛있는,44
신촌동,주점,안주,27
신촌동,주점,친절한,21
신촌동,주점,분위기,21
신촌동,주점,가성비,9
신촌동,주점,다양한,7
신촌동,주점,칵테일,6
신촌동,주점,막걸리,4
신촌동,주점,단체,4
신촌동,주점,넓은,4
신촌동,일식,맛있는,39
신촌동,일식,친절한,17
신촌동,일식,초밥,6
신촌동,일식,혼밥,6
신촌동,일식,깔끔한,5
신촌동,일식,많은 양,4
신촌동,일식,돈까스,4
신촌동,일식,가성비,4
신촌동,일식,신선한,4
신촌동,일식,카레,4
신촌동,서양식,맛있는,33
신촌동,서양식,친절한,16
신촌동,서양식,분위기,14
신촌동,서양식,파스타,10
신촌동,서양식,가성비,6
신촌동,서양식,스테이크,5
신촌동,서양식,소스,5
신촌동,서양식,신선한,2
신촌동,서양식,인테리어,2
신촌동,서양식,친구,1
신촌동,분식,맛있는,25
신촌동,분식,떡볶이,8
신촌동,분식,김밥,8
신촌동,분식,친절한,7
신촌동,분식,가성비,5
신촌동,분식,재료,3
신촌동,분식,이대,3
신촌동,분식,혼밥,3
신촌동,분식,포장,3
신촌동,분식,다양한,2
신촌동,동남아시아,맛있는,13
신촌동,동남아시아,쌀국수,8
신촌동,동남아시아,가성비,4
신촌동,동남아시아,친절한,3
신촌동,동남아시아,세트,2
신촌동,동남아시아,맛집,2
신촌동,동남아시아,커리,2
신촌동,동남아시아,포장,1
신촌동,동남아시아,협소한,1
신촌동,동남아시아,현지,1
성수2가제3동,한식,맛있는,132
성수2가제3동,한식,친절한,54
성수2가제3동,한식,고기,26
성수2가제3동,한식,점심,22
성수2가제3동,한식,가성비,17
성수2가제3동,한식,반찬,15
성수2가제3동,한식,깔끔한,15
성수2가제3동,한식,신선한,8
성수2가제3동,한식,포장,6
성수2가제3동,한식,솥밥,4
성수2가제3동,패스트푸드,맛있는,18
성수2가제3동,패스트푸드,버거,7
성수2가제3동,패스트푸드,친절한,5
성수2가제3동,패스트푸드,피자,5
성수2가제3동,패스트푸드,도우,4
성수2가제3동,패스트푸드,깔끔한,3
성수2가제3동,패스트푸드,치킨,3
성수2가제3동,패스트푸드,파스타,3
성수2가제3동,패스트푸드,신선한,3
성수2가제3동,패스트푸드,분위기,3
성수2가제3동,카페,맛있는,85
성수2가제3동,카페,커피,55
성수2가제3동,카페,친절한,34
성수2가제3동,카페,디저트,20
성수2가제3동,카페,분위기,18
성수2가제3동,카페,라떼,17
성수2가제3동,카페,예쁜,13
성수2가제3동,카페,케이크,13
성수2가제3동,카페,인테리어,13
성수2가제3동,카페,소금빵,4
성수2가제3동,중식,맛있는,20
성수2가제3동,중식,짬뽕,14
성수2가제3동,중식,탕수육,11
성수2가제3동,중식,친절한,6
성수2가제3동,중식,짜장면,4
성수2가제3동,중식,점심,3
성수2가제3동,중식,간짜장,3
성수2가제3동,중식,깔끔한,3
성수2가제3동,중식,세트,2
성수2가제3동,중식,깨끗한,1
성수2가제3동,주점,맛있는,24
