상가업소번호,가게명,키워드,index,갯수
1100,소금집델리 안국,감자,0.0,33
1100,소금집델리 안국,기다리다,0.0,43
1100,소금집델리 안국,당근,0.0,22
1100,소금집델리 안국,대기,0.0,26
1100,소금집델리 안국,루벤,0.0,25
1100,소금집델리 안국,마쥬,0.0,26
1100,소금집델리 안국,맛있게 먹다,15.0,6
1100,소금집델리 안국,맛있는,0.0,316
1100,소금집델리 안국,맛집,0.0,33
1100,소금집델리 안국,바게트,0.0,44
1100,소금집델리 안국,버터,0.0,41
1100,소금집델리 안국,빵,0.0,22
1100,소금집델리 안국,샌드위치,0.0,82
1100,소금집델리 안국,생각,0.0,28
1100,소금집델리 안국,생각 보다,16.0,6
1100,소금집델리 안국,소금,0.0,43
1100,소금집델리 안국,웨이팅,0.0,65
1100,소금집델리 안국,잠봉,0.0,56
1100,소금집델리 안국,잠봉뵈르,0.0,170
1100,소금집델리 안국,좋다,0.0,105
1100,소금집델리 안국,좋아하다,0.0,27
1100,소금집델리 안국,직원,0.0,30
1100,소금집델리 안국,친절한,0.0,25
1100,소금집델리 안국,포장,0.0,65
1100,소금집델리 안국,프로,0.0,26
1100,소금집델리 안국,햄,0.0,51
1100,소금집델리안국점,가기,0.0,3
1100,소금집델리안국점,가기 좋다,4149.0,1
1100,소금집델리안국점,감다,0.0,3
1100,소금집델리안국점,감자,0.0,9
1100,소금집델리안국점,감자 선택,4150.0,1
1100,소금집델리안국점,감자 중,4151.0,1
1100,소금집델리안국점,감자튀김 랑,4152.0,1
1100,소금집델리안국점,감자튀김 랑 당 근 샐러드랑,4153.0,1
1100,소금집델리안국점,괜찮다,0.0,3
1100,소금집델리안국점,괜찮다 잠봉뵈르,4154.0,1
1100,소금집델리안국점,굉장하다,0.0,3
1100,소금집델리안국점,굉장하다 어울리다,4155.0,1
1100,소금집델리안국점,근,0.0,3
1100,소금집델리안국점,기다리다,0.0,3
1100,소금집델리안국점,기다리다 먹다 당근,4156.0,1
1100,소금집델리안국점,나오다 나오다 크로크마담,4157.0,1
1100,소금집델리안국점,당,0.0,3
1100,소금집델리안국점,당 근 샐러드랑,4159.0,1
1100,소금집델리안국점,당 근 샐러드랑 콜라,4160.0,1
1100,소금집델리안국점,당근,0.0,3
