상가업소번호,가게명,키워드,index,갯수
2200,보이어,1 위 2 위로,5362.0,1
2200,보이어,10개 주다 음 요,5363.0,1
2200,보이어,2 위로,5364.0,1
2200,보이어,2 위로 트러플 파스타,5365.0,1
2200,보이어,가게,0.0,2
2200,보이어,가능하다,0.0,3
2200,보이어,가면,0.0,2
2200,보이어,간단하다,0.0,2
2200,보이어,간이,0.0,2
2200,보이어,감다,0.0,2
2200,보이어,감칠맛,0.0,2
2200,보이어,개,0.0,2
2200,보이어,개인적,0.0,2
2200,보이어,괜찮다,0.0,4
2200,보이어,그렇다,0.0,3
2200,보이어,따르다,0.0,4
2200,보이어,맛있게 먹다,5355.0,2
2200,보이어,맛있는 음식,5356.0,2
2200,보이어,맛있다,0.0,28
2200,보이어,무조건,0.0,4
2200,보이어,보이다,0.0,4
2200,보이어,부드럽다,0.0,4
2200,보이어,분위기,0.0,3
2200,보이어,생각 보다,5360.0,1
2200,보이어,식사,0.0,4
2200,보이어,안나 고,5357.0,2
2200,보이어,안주,0.0,4
2200,보이어,어란,0.0,3
2200,보이어,어란 파스타인데,5361.0,1
2200,보이어,어울리다,0.0,3
2200,보이어,와인,0.0,8
2200,보이어,은대구,0.0,6
2200,보이어,은대구 파스타,5354.0,4
2200,보이어,인테리어,0.0,3
2200,보이어,재방문,0.0,4
2200,보이어,적당하다,0.0,4
2200,보이어,좋다,0.0,15
2200,보이어,좋다 맛있다,5358.0,2
2200,보이어,좋다 식사,5359.0,2
2200,보이어,중,0.0,4
2200,보이어,크리스마스,0.0,4
2200,보이어,파스타,0.0,12
2201,하노이102,13000원 이였다분보남보는 새 콤 니,2945.0,1
2201,하노이102,가성비,0.0,2
2201,하노이102,감성,0.0,2
2201,하노이102,감안,0.0,2
2201,하노이102,겠다,0.0,2
2201,하노이102,고거,0.0,2
2201,하노이102,고기,0.0,4
2201,하노이102,고양이,0.0,2
2201,하노이102,국물,0.0,3
2201,하노이102,굿굿굿,0.0,6
2201,하노이102,급하다,0.0,2
2201,하노이102,기계,0.0,2
2201,하노이102,까지는,0.0,2
2201,하노이102,날씨,0.0,4
2201,하노이102,많다,0.0,6
2201,하노이102,맛있는 음식,2939.0,2
2201,하노이102,맛있다,0.0,21
2201,하노이102,맛집,0.0,5
2201,하노이102,맵다,0.0,4
2201,하노이102,맵다 쌀국수,2940.0,2
2201,하노이102,반,0.0,3
2201,하노이102,반쎄오,2941.0,2
2201,하노이102,분위기,0.0,6
2201,하노이102,사장님,0.0,12
2201,하노이102,생각,0.0,5
2201,하노이102,쌀국수,0.0,21
2201,하노이102,쎄다,0.0,3
2201,하노이102,아쉽다,0.0,4
2201,하노이102,예쁘다,0.0,3
2201,하노이102,인테리어,0.0,7
2201,하노이102,자극 적 지도,2944.0,1
2201,하노이102,좋다,0.0,12
2201,하노이102,직원,0.0,3
2201,하노이102,추다,0.0,6
2201,하노이102,추다 날씨,2942.0,2
2201,하노이102,친절하다,0.0,14
2201,하노이102,친절한,0.0,3
2201,하노이102,친절한 사장님,2943.0,2
2203,에보,가장 맛있다,11871.0,1
2203,에보,감사히,0.0,2
2203,에보,감사히 먹다,11872.0,1
2203,에보,거 라고,11873.0,1
2203,에보,곁들이다,0.0,2
2203,에보,고급스럽다 맛,11874.0,1
2203,에보,고급스럽다 맛 일품,11875.0,1
2203,에보,고소하다,0.0,2
2203,에보,고소하다 생면 소스,11876.0,1
2203,에보,곳 이라서,11877.0,1
2203,에보,곳 이라서 기대하다,11878.0,1
