상가업소번호,가게명,키워드,index,갯수
3301,정육면체,10000원면이,0.0,1
3301,정육면체,10000원면이 가늘다,11956.0,1
3301,정육면체,12500원,0.0,1
3301,정육면체,12500원 달달,11957.0,1
3301,정육면체,12500원 달달 살짝,11958.0,1
3301,정육면체,12월,0.0,1
3301,정육면체,3,0.0,1
3301,정육면체,35,0.0,1
3301,정육면체,40,0.0,1
3301,정육면체,5,0.0,1
3301,정육면체,가늘다,0.0,1
3301,정육면체,가늘다 그냥,11959.0,1
3301,정육면체,가늘다 식 가다 가늘다,11960.0,1
3301,정육면체,가다면,0.0,1
3301,정육면체,가득,0.0,1
3301,정육면체,가득 12월,11961.0,1
3301,정육면체,가득 12월 중순,11962.0,1
3301,정육면체,가득하다,0.0,1
3301,정육면체,가득하다 고소하다,11963.0,1
3301,정육면체,가득하다 좋아하다,11964.0,1
3301,정육면체,가슴,0.0,1
3301,정육면체,개인,0.0,2
3301,정육면체,개인 적,11965.0,1
3301,정육면체,개인 적 먹다,11966.0,1
3301,정육면체,고소하다,0.0,1
3301,정육면체,고소하다 탄탄면개인 적,11967.0,1
3301,정육면체,공기,0.0,1
3301,정육면체,국도,0.0,1
3301,정육면체,국물,0.0,1
3301,정육면체,국물 만,11969.0,1
3301,정육면체,국물 만 연달 그릇,11970.0,1
3301,정육면체,그냥 그냥 소면,11971.0,1
3301,정육면체,그릇,0.0,1
3301,정육면체,그릇 비우다,11972.0,1
3301,정육면체,글쎄요,0.0,1
3301,정육면체,금산면소,0.0,1
3301,정육면체,금산면소 와는,11973.0,1
3301,정육면체,기다,0.0,1
3301,정육면체,깨,0.0,1
3301,정육면체,깨맛,0.0,1
3301,정육면체,깨맛 가득하다,11974.0,1
3301,정육면체,난방,0.0,1
3301,정육면체,난방 정말,11976.0,1
3301,정육면체,날씨,0.0,1
3301,정육면체,날씨 날씨 국물 만,11977.0,1
3301,정육면체,내다,0.0,1
3301,정육면체,내다 추다,11978.0,1
3301,정육면체,내부,0.0,1
3301,정육면체,내부 공기,11979.0,1
3301,정육면체,너무나도,0.0,1
3301,정육면체,너무나도 답답하다,11980.0,1
3301,정육면체,느끼다 국도,11981.0,1
3301,정육면체,느끼다 국도 나오다,11982.0,1
3301,정육면체,달달,0.0,1
3301,정육면체,달콤하다,0.0,1
3301,정육면체,닭 가슴 살로,11983.0,1
3301,정육면체,닭 가슴 살로 만들다,11984.0,1
3301,정육면체,답답하다 한 줄 요약 우육면,11985.0,1
3301,정육면체,돼지 육수,11986.0,1
3301,정육면체,돼지 육수 탄탄면,11987.0,1
3301,정육면체,돼지고기 돼지고기 비비다,11988.0,1
3301,정육면체,들다 매콤 한 거,11989.0,1
3301,정육면체,마라탕,0.0,1
3301,정육면체,맛있는 나오다 후추,11975.0,1
3301,정육면체,면,0.0,2
3301,정육면체,면일,0.0,1
3301,정육면체,살짝,0.0,2
3301,정육면체,알이고,0.0,1
3301,정육면체,육수,0.0,2
3301,정육면체,좋다,0.0,2
3301,정육면체,탄탄면,0.0,2
3301,정육면체,홍,0.0,2
3305,또보겠지떡볶이집 신촌히어로점,갈릭,0.0,11
3305,또보겠지떡볶이집 신촌히어로점,감자,0.0,8
3305,또보겠지떡볶이집 신촌히어로점,감자튀김,596.0,9
3305,또보겠지떡볶이집 신촌히어로점,감자튀김 다,597.0,3
