상가업소번호,가게명,원래이름,리뷰,분리리뷰,리뷰날짜,제거리뷰,review_tfidf,review_count,keyword
20592276,깡통만두,깡통만두,"만두가 옛날 집에서 빚은 딱 그 맛이어서, 좋았다.칼만두국을 먹었는데 사골베이스에 조금 슴슴한 편인데 맛이 꽤 훌륭하다. 면발은 하늘하늘 부드러운 편이다.테이블 간격이 좁고 서버 이모님들이 살짝 불친절한 편이라 온전히 유명세의 맛경험을 하기엔 다소 아쉬움이 있다.","만두가 옛날 집에서 빚은 딱 그 맛이어서, 좋았다.",2023-3-9,만두가 옛날 집에서 빚은 딱 그 맛이어서 좋았다,"['만두가' '만두가 옛날' '맛이어서' '맛이어서 좋았다' '빚은' '빚은 맛이어서' '옛날' '옛날 집에서' '좋았다' '집에서'
 '집에서 빚은']","['만두가' '만두가 옛날' '맛이어서' '맛이어서 좋았다' '빚은' '빚은 맛이어서' '옛날' '옛날 집에서' '좋았다' '집에서'
 '집에서 빚은']","['맛이어서 좋았다', '빚은 맛이어서', '집에서 빚은', '만두가 옛날', '옛날 집에서']"
20592276,깡통만두,깡통만두,"만두가 옛날 집에서 빚은 딱 그 맛이어서, 좋았다.칼만두국을 먹었는데 사골베이스에 조금 슴슴한 편인데 맛이 꽤 훌륭하다. 면발은 하늘하늘 부드러운 편이다.테이블 간격이 좁고 서버 이모님들이 살짝 불친절한 편이라 온전히 유명세의 맛경험을 하기엔 다소 아쉬움이 있다.",칼만두국을 먹었는데 사골베이스에 조금 슴슴한 편인데 맛이 꽤 훌륭하다.,2023-3-9,칼만두국을 먹었는데 사골베이스에 조금 슴슴한 편인데 맛이 꽤 훌륭하다,"['맛이' '맛이 훌륭하다' '먹었는데' '먹었는데 사골베이스에' '사골베이스에' '사골베이스에 조금' '슴슴한' '슴슴한 편인데'
 '조금' '조금 슴슴한' '칼만두국을' '칼만두국을 먹었는데' '편인데' '편인데 맛이' '훌륭하다']","['맛이' '맛이 훌륭하다' '먹었는데' '먹었는데 사골베이스에' '사골베이스에' '사골베이스에 조금' '슴슴한' '슴슴한 편인데'
 '조금' '조금 슴슴한' '칼만두국을' '칼만두국을 먹었는데' '편인데' '편인데 맛이' '훌륭하다']","['맛이', '먹었는데 사골베이스에', '칼만두국을 먹었는데', '편인데 맛이', '맛이 훌륭하다']"
20592276,깡통만두,깡통만두,"만두가 옛날 집에서 빚은 딱 그 맛이어서, 좋았다.칼만두국을 먹었는데 사골베이스에 조금 슴슴한 편인데 맛이 꽤 훌륭하다. 면발은 하늘하늘 부드러운 편이다.테이블 간격이 좁고 서버 이모님들이 살짝 불친절한 편이라 온전히 유명세의 맛경험을 하기엔 다소 아쉬움이 있다.",면발은 하늘하늘 부드러운 편이다.,2023-3-9,면발은 하늘하늘 부드러운 편이다,['면발은' '면발은 하늘하늘' '부드러운' '부드러운 편이다' '편이다' '하늘하늘' '하늘하늘 부드러운'],['면발은' '면발은 하늘하늘' '부드러운' '부드러운 편이다' '편이다' '하늘하늘' '하늘하늘 부드러운'],"['부드러운', '부드러운 편이다', '하늘하늘', '하늘하늘 부드러운', '면발은 하늘하늘']"
20592276,깡통만두,깡통만두,"만두가 옛날 집에서 빚은 딱 그 맛이어서, 좋았다.칼만두국을 먹었는데 사골베이스에 조금 슴슴한 편인데 맛이 꽤 훌륭하다. 면발은 하늘하늘 부드러운 편이다.테이블 간격이 좁고 서버 이모님들이 살짝 불친절한 편이라 온전히 유명세의 맛경험을 하기엔 다소 아쉬움이 있다.",테이블 간격이 좁고 서버 이모님들이 살짝 불친절한 편이라 온전히 유명세의 맛경험을 하기엔 다소 아쉬움이 있다.,2023-3-9,테이블 간격이 좁고 서버 이모님들이 살짝 불친절한 편이라 온전히 유명세의 맛경험을 하기엔 다소 아쉬움이 있다,"['간격이' '간격이 좁고' '다소' '다소 아쉬움이' '맛경험을' '맛경험을 하기엔' '불친절한' '불친절한 편이라' '살짝'
 '살짝 불친절한' '서버' '서버 이모님들이' '아쉬움이' '아쉬움이 있다' '온전히' '온전히 유명세의' '유명세의'
 '유명세의 맛경험을' '이모님들이' '이모님들이 살짝' '있다' '좁고' '좁고 서버' '테이블' '테이블 간격이' '편이라'
 '편이라 온전히' '하기엔' '하기엔 다소']","['간격이' '간격이 좁고' '다소' '다소 아쉬움이' '맛경험을' '맛경험을 하기엔' '불친절한' '불친절한 편이라' '살짝'
 '살짝 불친절한' '서버' '서버 이모님들이' '아쉬움이' '아쉬움이 있다' '온전히' '온전히 유명세의' '유명세의'
 '유명세의 맛경험을' '이모님들이' '이모님들이 살짝' '있다' '좁고' '좁고 서버' '테이블' '테이블 간격이' '편이라'
 '편이라 온전히' '하기엔' '하기엔 다소']","['좁고 서버', '유명세의 맛경험을', '서버 이모님들이', '테이블', '테이블 간격이']"
20592276,깡통만두,깡통만두,주말에 방문하면 웨이팅이 깁니다. 한시간정도 대기하면 드실 수 있어요. 만두가 깔끔하고 맛있네요. 테이블 간 간격이 좁아서 후다닥 먹고 나왔네요 .,주말에 방문하면 웨이팅이 깁니다.,2023-2-19,주말에 방문하면 웨이팅이 깁니다,['깁니다' '방문하면' '방문하면 웨이팅이' '웨이팅이' '웨이팅이 깁니다' '주말에' '주말에 방문하면'],['깁니다' '방문하면' '방문하면 웨이팅이' '웨이팅이' '웨이팅이 깁니다' '주말에' '주말에 방문하면'],"['방문하면', '웨이팅이 깁니다', '방문하면 웨이팅이', '주말에', '주말에 방문하면']"
20592276,깡통만두,깡통만두,주말에 방문하면 웨이팅이 깁니다. 한시간정도 대기하면 드실 수 있어요. 만두가 깔끔하고 맛있네요. 테이블 간 간격이 좁아서 후다닥 먹고 나왔네요 .,한시간정도 대기하면 드실 수 있어요.,2023-2-19,한시간정도 대기하면 드실 수 있어요,['대기하면' '대기하면 드실' '드실' '드실 있어요' '있어요' '한시간정도' '한시간정도 대기하면'],['대기하면' '대기하면 드실' '드실' '드실 있어요' '있어요' '한시간정도' '한시간정도 대기하면'],"['드실 있어요', '대기하면', '대기하면 드실', '한시간정도', '한시간정도 대기하면']"
20592276,깡통만두,깡통만두,주말에 방문하면 웨이팅이 깁니다. 한시간정도 대기하면 드실 수 있어요. 만두가 깔끔하고 맛있네요. 테이블 간 간격이 좁아서 후다닥 먹고 나왔네요 .,만두가 깔끔하고 맛있네요.,2023-2-19,만두가 깔끔하고 맛있네요,['깔끔하고' '깔끔하고 맛있네요' '만두가' '만두가 깔끔하고' '맛있네요'],['깔끔하고' '깔끔하고 맛있네요' '만두가' '만두가 깔끔하고' '맛있네요'],"['만두가', '깔끔하고', '맛있네요', '만두가 깔끔하고', '깔끔하고 맛있네요']"
20592276,깡통만두,깡통만두,주말에 방문하면 웨이팅이 깁니다. 한시간정도 대기하면 드실 수 있어요. 만두가 깔끔하고 맛있네요. 테이블 간 간격이 좁아서 후다닥 먹고 나왔네요 .,테이블 간 간격이 좁아서 후다닥 먹고 나왔네요 .,2023-2-19,테이블 간 간격이 좁아서 후다닥 먹고 나왔네요 ,"['간격이' '간격이 좁아서' '나왔네요' '먹고' '먹고 나왔네요' '좁아서' '좁아서 후다닥' '테이블' '테이블 간격이'
 '후다닥' '후다닥 먹고']","['간격이' '간격이 좁아서' '나왔네요' '먹고' '먹고 나왔네요' '좁아서' '좁아서 후다닥' '테이블' '테이블 간격이'
 '후다닥' '후다닥 먹고']","['간격이 좁아서', '후다닥 먹고', '좁아서 후다닥', '테이블', '테이블 간격이']"
20592276,깡통만두,깡통만두,"직접 빚은 만두와 직접 뽑은 생면이 있는 안국역 수요미식회 맛집 깡통만두! 만두전골을 시키면 고기만두, 해물만두 두 종류를 주는데 맛있고 해물만두는 새우한마리가 통으로 들어있다! 칼국수 사리도 포함되어 있는데 직접 뽑은 면이라 그런지 쫄깃하니 맛있당",직접 빚은 만두와 직접 뽑은 생면이 있는 안국역 수요미식회 맛집 깡통만두!,2022-8-9,직접 빚은 만두와 직접 뽑은 생면이 있는 안국역 수요미식회 맛집 깡통만두,"['깡통만두' '만두와' '만두와 직접' '맛집' '맛집 깡통만두' '빚은' '빚은 만두와' '뽑은' '뽑은 생면이' '생면이'
 '생면이 있는' '수요미식회' '수요미식회 맛집' '안국역' '안국역 수요미식회' '있는' '있는 안국역' '직접' '직접 빚은'
 '직접 뽑은']","['깡통만두' '만두와' '만두와 직접' '맛집' '맛집 깡통만두' '빚은' '빚은 만두와' '뽑은' '뽑은 생면이' '생면이'
 '생면이 있는' '수요미식회' '수요미식회 맛집' '안국역' '안국역 수요미식회' '있는' '있는 안국역' '직접' '직접 빚은'
 '직접 뽑은']","['수요미식회 맛집', '만두와 직접', '빚은', '직접 빚은', '빚은 만두와']"
20592276,깡통만두,깡통만두,"직접 빚은 만두와 직접 뽑은 생면이 있는 안국역 수요미식회 맛집 깡통만두! 만두전골을 시키면 고기만두, 해물만두 두 종류를 주는데 맛있고 해물만두는 새우한마리가 통으로 들어있다! 칼국수 사리도 포함되어 있는데 직접 뽑은 면이라 그런지 쫄깃하니 맛있당","만두전골을 시키면 고기만두, 해물만두 두 종류를 주는데 맛있고 해물만두는 새우한마리가 통으로 들어있다!",2022-8-9,만두전골을 시키면 고기만두 해물만두 두 종류를 주는데 맛있고 해물만두는 새우한마리가 통으로 들어있다,"['고기만두' '고기만두 해물만두' '들어있다' '만두전골을' '만두전골을 시키면' '맛있고' '맛있고 해물만두는' '새우한마리가'
 '새우한마리가 통으로' '시키면' '시키면 고기만두' '종류를' '종류를 주는데' '주는데' '주는데 맛있고' '통으로'
 '통으로 들어있다' '해물만두' '해물만두 종류를' '해물만두는' '해물만두는 새우한마리가']","['고기만두' '고기만두 해물만두' '들어있다' '만두전골을' '만두전골을 시키면' '맛있고' '맛있고 해물만두는' '새우한마리가'
 '새우한마리가 통으로' '시키면' '시키면 고기만두' '종류를' '종류를 주는데' '주는데' '주는데 맛있고' '통으로'
 '통으로 들어있다' '해물만두' '해물만두 종류를' '해물만두는' '해물만두는 새우한마리가']","['고기만두', '해물만두는 새우한마리가', '맛있고 해물만두는', '시키면 고기만두', '고기만두 해물만두']"
20592276,깡통만두,깡통만두,"직접 빚은 만두와 직접 뽑은 생면이 있는 안국역 수요미식회 맛집 깡통만두! 만두전골을 시키면 고기만두, 해물만두 두 종류를 주는데 맛있고 해물만두는 새우한마리가 통으로 들어있다! 칼국수 사리도 포함되어 있는데 직접 뽑은 면이라 그런지 쫄깃하니 맛있당",칼국수 사리도 포함되어 있는데 직접 뽑은 면이라 그런지 쫄깃하니 맛있당,2022-8-9,칼국수 사리도 포함되어 있는데 직접 뽑은 면이라 그런지 쫄깃하니 맛있당,"['그런지' '그런지 쫄깃하니' '맛있당' '면이라' '면이라 그런지' '뽑은' '뽑은 면이라' '사리도' '사리도 포함되어'
 '있는데' '있는데 직접' '직접' '직접 뽑은' '쫄깃하니' '쫄깃하니 맛있당' '칼국수' '칼국수 사리도' '포함되어'
 '포함되어 있는데']","['그런지' '그런지 쫄깃하니' '맛있당' '면이라' '면이라 그런지' '뽑은' '뽑은 면이라' '사리도' '사리도 포함되어'
 '있는데' '있는데 직접' '직접' '직접 뽑은' '쫄깃하니' '쫄깃하니 맛있당' '칼국수' '칼국수 사리도' '포함되어'
 '포함되어 있는데']","['포함되어', '맛있당', '쫄깃하니 맛있당', '포함되어 있는데', '사리도 포함되어']"
