index,상가업소번호,가게명,키워드,갯수
0,1109,어니언안국,분위기 좋다,29
1,1109,어니언안국,사람 많다,19
2,1109,어니언안국,빵 맛있다,18
5,1109,어니언안국,친절하다 좋다,10
6,1115,블루보틀 삼청 카페,맛있는 커피,20
7,1115,블루보틀 삼청 카페,뷰 좋다,11
8,1115,블루보틀 삼청 카페,분위기 좋다,7
9,1115,블루보틀 삼청 카페,커피 맛,7
10,1115,블루보틀 삼청 카페,사람 많다,6
11,1115,블루보틀 삼청 카페,가격 비싸다,4
15,1100,소금집델리 안국,맛있게 먹다,6
16,1100,소금집델리 안국,생각 보다,6
17,1104,오설록티 하우스 북촌점,분위기 좋다,10
19,1104,오설록티 하우스 북촌점,티 칵테일,6
20,1104,오설록티 하우스 북촌점,맛 좋다,5
21,1104,오설록티 하우스 북촌점,북촌점,5
22,1104,오설록티 하우스 북촌점,뷰 좋다,5
26,MA010120220814042518,핑크래빗가든,신선하다 맛있다,5
27,MA010120220814042518,핑크래빗가든,맛있는 샐러드,4
28,MA010120220814042518,핑크래빗가든,분위기 좋다,4
29,MA010120220814042518,핑크래빗가든,샌드위치 샐러드,4
30,MA010120220814042518,핑크래빗가든,핑크 래빗 가든,4
31,1103,프릳츠 원서점,맛있는 커피,12
33,1103,프릳츠 원서점,맛 좋다,4
34,1103,프릳츠 원서점,야외 테이블,4
35,1103,프릳츠 원서점,맛있다 프릳츠,3
36,1103,프릳츠 원서점,산미 강하다,3
39,MA010120220805171860,미트볼라운지 X 아날로그키친 삼청점,맛있다 다,6
40,MA010120220805171860,미트볼라운지 X 아날로그키친 삼청점,맛 좋다,4
41,MA010120220805171860,미트볼라운지 X 아날로그키친 삼청점,맛있게 먹다,4
42,MA010120220805171860,미트볼라운지 X 아날로그키친 삼청점,분위기 좋다,4
43,MA010120220805171860,미트볼라운지 X 아날로그키친 삼청점,양도 많다,4
44,MA010120220805171860,미트볼라운지 X 아날로그키친 삼청점,오래 걸리다,4
45,MA010120220805171860,미트볼라운지 X 아날로그키친 삼청점,음식 맛있다,4
46,MA010120220805171860,미트볼라운지 X 아날로그키친 삼청점,친절하다 음식,4
47,MA010120220805171860,미트볼라운지 X 아날로그키친 삼청점,빠지다 없이,2
48,1108,월영당 서울,분위기 좋다,5
50,1108,월영당 서울,맛있는 커피,4
51,1108,월영당 서울,맛있는 디저트,3
52,1108,월영당 서울,안동 대마라떼,3
53,MA010120220804670209,백미당 삼청점,뷰 좋다,4
54,MA010120220804670209,백미당 삼청점,아이스크림 맛있다,4
55,MA010120220804670209,백미당 삼청점,사람 많다,3
56,MA010120220804670209,백미당 삼청점,아이스크림 맛있다,3
57,MA010120220804670209,백미당 삼청점,우유 아이스크림,3
59,MA010120220804670209,백미당 삼청점,백미 당,2
61,MA010120220804670209,백미당 삼청점,아이스크림 맛,2
62,MA010120220804670209,백미당 삼청점,자리 없다,2
63,MA010120220804670209,백미당 삼청점,백미 당,1
64,MA010120220804670209,백미당 삼청점,4천원 대라,1
65,MA010120220804670209,백미당 삼청점,4천원 대라 가격 부담,1
66,MA010120220804670209,백미당 삼청점,가격 부담,1
67,MA010120220804670209,백미당 삼청점,가다가 백미 당,1
69,MA0101202212A0020676,갓잇 안국점,맛있게 먹다,5
70,MA0101202212A0020676,갓잇 안국점,양 많다,4
71,MA0101202212A0020676,갓잇 안국점,맛있다 친절하다,3
72,MA0101202212A0020676,갓잇 안국점,음식 맛있다,3
73,MA0101202212A0020676,갓잇 안국점,갓잇 안국점,2
74,MA0101202212A0020676,갓잇 안국점,넘다 기다리다,2
75,MA0101202212A0020676,갓잇 안국점,느끼하다 않다,2
76,MA010120220811823342,땡스오트 안국,그릭 요거트,13
77,MA010120220811823342,땡스오트 안국,꾸다 덕,5
78,MA010120220811823342,땡스오트 안국,생각 보다,5
79,MA010120220811823342,땡스오트 안국,꾸다 덕 좋다,4
81,MA010120220811823342,땡스오트 안국,맛 좋다,4
82,MA010120220811823342,땡스오트 안국,맛있다 맛있다 요거트,4
83,MA010120220811823342,땡스오트 안국,맛있다 근데,4
84,MA010120220811823342,땡스오트 안국,샌드위치 맛있다,4
85,MA010120220811823342,땡스오트 안국,않다 좋다,4
86,MA010120220811823342,땡스오트 안국,포장 해오다 먹다,4
87,MA010120220811823342,땡스오트 안국,달지 않다,3
88,MA010120220811926927,연남토마 북촌점,명란 바질 파스타,5
90,MA010120220811926927,연남토마 북촌점,맛있다 양도,3
91,MA010120220811926927,연남토마 북촌점,양도 많다,3
