상가업소번호,가게명,키워드,갯수
1109,어니언안국,,5405
1109,어니언안국,좋다,433
1109,어니언안국,빵,427
1109,어니언안국,맛있다,417
1109,어니언안국,너무,171
1109,어니언안국,커피,159
1109,어니언안국,많다,158
1109,어니언안국,한,158
1109,어니언안국,친절하다,156
1109,어니언안국,옥,143
1109,어니언안국,분위기,140
1109,어니언안국,소금,125
1109,어니언안국,카페,121
1109,어니언안국,사람,109
1109,어니언안국,직원,107
1109,어니언안국,굿굿굿,106
1109,어니언안국,먹다,96
1109,어니언안국,분들,88
1109,어니언안국,맛,83
1109,어니언안국,예쁘다,80
1109,어니언안국,다,78
1109,어니언안국,곳,73
1109,어니언안국,가다,70
1109,어니언안국,보다,67
1109,어니언안국,자리,65
1109,어니언안국,인테리어,61
1109,어니언안국,진짜,59
1109,어니언안국,어니언,54
1109,어니언안국,없다,54
1109,어니언안국,방문,49
1109,어니언안국,앉다,49
1109,어니언안국,종류,46
1109,어니언안국,정말,45
1109,어니언안국,엄청,42
1109,어니언안국,음료,42
1109,어니언안국,적,42
1109,어니언안국,가격,40
1109,어니언안국,오다,40
1109,어니언안국,인데,40
1109,어니언안국,많이,39
1109,어니언안국,요,38
1109,어니언안국,안국,37
1109,어니언안국,포장,37
1109,어니언안국,이르다,35
1109,어니언안국,라,34
1109,어니언안국,싶다,34
1109,어니언안국,않다,34
1109,어니언안국,라떼,33
1109,어니언안국,쏘다,33
1109,어니언안국,못,32
1115,블루보틀 삼청 카페,,2640
1115,블루보틀 삼청 카페,좋다,214
1115,블루보틀 삼청 카페,맛있다,211
1115,블루보틀 삼청 카페,커피,195
1115,블루보틀 삼청 카페,너무,78
1115,블루보틀 삼청 카페,맛,72
1115,블루보틀 삼청 카페,친절하다,70
1115,블루보틀 삼청 카페,굿굿굿,69
1115,블루보틀 삼청 카페,보틀,64
1115,블루보틀 삼청 카페,블루,64
1115,블루보틀 삼청 카페,라떼,61
1115,블루보틀 삼청 카페,많다,61
1115,블루보틀 삼청 카페,다,53
1115,블루보틀 삼청 카페,층,53
1115,블루보틀 삼청 카페,뷰,51
1115,블루보틀 삼청 카페,직원,50
1115,블루보틀 삼청 카페,자리,49
1115,블루보틀 삼청 카페,보다,42
1115,블루보틀 삼청 카페,앉다,39
1115,블루보틀 삼청 카페,먹다,38
1115,블루보틀 삼청 카페,말다,36
1115,블루보틀 삼청 카페,사람,36
1115,블루보틀 삼청 카페,않다,36
1115,블루보틀 삼청 카페,정말,36
1115,블루보틀 삼청 카페,비싸다,33
1115,블루보틀 삼청 카페,좌석,33
1115,블루보틀 삼청 카페,불편하다,32
1115,블루보틀 삼청 카페,음료,32
1115,블루보틀 삼청 카페,깔끔하다,30
1115,블루보틀 삼청 카페,분,27
1115,블루보틀 삼청 카페,주문,27
1115,블루보틀 삼청 카페,가격,25
1115,블루보틀 삼청 카페,분위기,25
1115,블루보틀 삼청 카페,오다,25
1115,블루보틀 삼청 카페,없다,24
1115,블루보틀 삼청 카페,3,22
1115,블루보틀 삼청 카페,곳,22
1115,블루보틀 삼청 카페,분들,22
1115,블루보틀 삼청 카페,삼청,22
1115,블루보틀 삼청 카페,삼청동,22
1115,블루보틀 삼청 카페,원두,22
1115,블루보틀 삼청 카페,매장,21
1115,블루보틀 삼청 카페,뉴올리언스,20
1115,블루보틀 삼청 카페,2,19
1115,블루보틀 삼청 카페,적,19
1115,블루보틀 삼청 카페,가다,18
1115,블루보틀 삼청 카페,나오다,18
1115,블루보틀 삼청 카페,아이스크림,18
1115,블루보틀 삼청 카페,오늘,18
1115,블루보틀 삼청 카페,요,18
1100,소금집델리 안국,,3659
1100,소금집델리 안국,맛있다,316
1100,소금집델리 안국,먹다,179
1100,소금집델리 안국,잠봉뵈르,170
1100,소금집델리 안국,좋다,105
1100,소금집델리 안국,보다,84
1100,소금집델리 안국,샌드위치,82
1100,소금집델리 안국,너무,77
1100,소금집델리 안국,맛,77
1100,소금집델리 안국,웨이,65
1100,소금집델리 안국,포장,65
1100,소금집델리 안국,다,64
1100,소금집델리 안국,팅,62
1100,소금집델리 안국,잠봉,56
1100,소금집델리 안국,햄,51
1100,소금집델리 안국,집,49
1100,소금집델리 안국,진짜,46
1100,소금집델리 안국,바게트,44
1100,소금집델리 안국,기다리다,43
1100,소금집델리 안국,소금,43
1100,소금집델리 안국,가다,42
1100,소금집델리 안국,버터,41
1100,소금집델리 안국,없다,40
1100,소금집델리 안국,감자,33
1100,소금집델리 안국,맛집,33
1100,소금집델리 안국,랑,31
1100,소금집델리 안국,요,31
1100,소금집델리 안국,메뉴,30
1100,소금집델리 안국,않다,30
1100,소금집델리 안국,직원,30
1100,소금집델리 안국,생각,28
1100,소금집델리 안국,나오다,27
1100,소금집델리 안국,들다,27
1100,소금집델리 안국,모르다,27
1100,소금집델리 안국,좋아하다,27
1100,소금집델리 안국,굿굿굿,26
1100,소금집델리 안국,대기,26
1100,소금집델리 안국,라,26
1100,소금집델리 안국,마쥬,26
1100,소금집델리 안국,프로,26
1100,소금집델리 안국,루벤,25
1100,소금집델리 안국,친절하다,25
1100,소금집델리 안국,만,24
1100,소금집델리 안국,아니다,24
1100,소금집델리 안국,음식,24
1100,소금집델리 안국,싶다,23
1100,소금집델리 안국,역시,23
1100,소금집델리 안국,정도,23
1100,소금집델리 안국,당근,22
1100,소금집델리 안국,빵,22
1104,오설록티 하우스 북촌점,,4989
1104,오설록티 하우스 북촌점,좋다,239
1104,오설록티 하우스 북촌점,맛있다,170
1104,오설록티 하우스 북촌점,오설록,139
1104,오설록티 하우스 북촌점,티,137
1104,오설록티 하우스 북촌점,녹차,119
1104,오설록티 하우스 북촌점,북촌,117
1104,오설록티 하우스 북촌점,너무,109
1104,오설록티 하우스 북촌점,칵테일,109
1104,오설록티 하우스 북촌점,층,107
1104,오설록티 하우스 북촌점,맛,89
1104,오설록티 하우스 북촌점,다,81
1104,오설록티 하우스 북촌점,보다,74
1104,오설록티 하우스 북촌점,예쁘다,74
1104,오설록티 하우스 북촌점,디저트,64
1104,오설록티 하우스 북촌점,먹다,62
1104,오설록티 하우스 북촌점,분위기,62
1104,오설록티 하우스 북촌점,음료,61
1104,오설록티 하우스 북촌점,3,59
1104,오설록티 하우스 북촌점,공간,59
1104,오설록티 하우스 북촌점,뷰,58
1104,오설록티 하우스 북촌점,말다,54
1104,오설록티 하우스 북촌점,매장,51
1104,오설록티 하우스 북촌점,건물,49
1104,오설록티 하우스 북촌점,차,49
1104,오설록티 하우스 북촌점,인테리어,47
1104,오설록티 하우스 북촌점,정말,45
1104,오설록티 하우스 북촌점,오다,44
1104,오설록티 하우스 북촌점,메뉴,40
1104,오설록티 하우스 북촌점,경험,39
1104,오설록티 하우스 북촌점,되어다,39
1104,오설록티 하우스 북촌점,방문,39
1104,오설록티 하우스 북촌점,멋지다,37
1104,오설록티 하우스 북촌점,1,36
1104,오설록티 하우스 북촌점,바,36
