상가업소번호,가게명,키워드,갯수
MA010120220810322514,bd버거 성수,,6981
MA010120220810322514,bd버거 성수,맛있다,639
MA010120220810322514,bd버거 성수,버거,556
MA010120220810322514,bd버거 성수,먹다,525
MA010120220810322514,bd버거 성수,새우,396
MA010120220810322514,bd버거 성수,튀김,321
MA010120220810322514,bd버거 성수,가지,293
MA010120220810322514,bd버거 성수,와사비,212
MA010120220810322514,bd버거 성수,보다,195
MA010120220810322514,bd버거 성수,패티,180
MA010120220810322514,bd버거 성수,맛,162
MA010120220810322514,bd버거 성수,좋다,157
MA010120220810322514,bd버거 성수,오다,142
MA010120220810322514,bd버거 성수,소스,116
MA010120220810322514,bd버거 성수,가다,114
MA010120220810322514,bd버거 성수,않다,106
MA010120220810322514,bd버거 성수,들다,102
MA010120220810322514,bd버거 성수,요,102
MA010120220810322514,bd버거 성수,다,99
MA010120220810322514,bd버거 성수,방문,87
MA010120220810322514,bd버거 성수,많다,84
MA010120220810322514,bd버거 성수,불고기,84
MA010120220810322514,bd버거 성수,랑,74
MA010120220810322514,bd버거 성수,엄청,68
MA010120220810322514,bd버거 성수,웨이,68
MA010120220810322514,bd버거 성수,햄버거,68
MA010120220810322514,bd버거 성수,느끼하다,66
MA010120220810322514,bd버거 성수,매장,65
MA010120220810322514,bd버거 성수,팅,65
MA010120220810322514,bd버거 성수,친구,63
MA010120220810322514,bd버거 성수,친절하다,60
MA010120220810322514,bd버거 성수,없다,59
MA010120220810322514,bd버거 성수,아니다,58
MA010120220810322514,bd버거 성수,포장,58
MA010120220810322514,bd버거 성수,생각나다,57
MA010120220810322514,bd버거 성수,치킨,55
MA010120220810322514,bd버거 성수,이랑,54
MA010120220810322514,bd버거 성수,그렇다,53
MA010120220810322514,bd버거 성수,들어가다,52
MA010120220810322514,bd버거 성수,두껍다,51
MA010120220810322514,bd버거 성수,직원,50
MA010120220810322514,bd버거 성수,양송이,49
MA010120220810322514,bd버거 성수,싶다,48
MA010120220810322514,bd버거 성수,맛집,45
MA010120220810322514,bd버거 성수,재,45
MA010120220810322514,bd버거 성수,추천,45
MA010120220810322514,bd버거 성수,핫,45
MA010120220810322514,bd버거 성수,세트,44
MA010120220810322514,bd버거 성수,적,44
MA010120220810322514,bd버거 성수,엔,43
MA010120220810356689,캐스터네츠 서울숲점,,3794
MA010120220810356689,캐스터네츠 서울숲점,버거,398
MA010120220810356689,캐스터네츠 서울숲점,맛있다,366
MA010120220810356689,캐스터네츠 서울숲점,좋다,303
MA010120220810356689,캐스터네츠 서울숲점,먹다,247
MA010120220810356689,캐스터네츠 서울숲점,새우,179
MA010120220810356689,캐스터네츠 서울숲점,서울숲,164
MA010120220810356689,캐스터네츠 서울숲점,맛,81
MA010120220810356689,캐스터네츠 서울숲점,파파야,79
MA010120220810356689,캐스터네츠 서울숲점,수제,70
MA010120220810356689,캐스터네츠 서울숲점,튀김,67
MA010120220810356689,캐스터네츠 서울숲점,메뉴,60
MA010120220810356689,캐스터네츠 서울숲점,야외,60
MA010120220810356689,캐스터네츠 서울숲점,햄버거,60
MA010120220810356689,캐스터네츠 서울숲점,오다,58
MA010120220810356689,캐스터네츠 서울숲점,분위기,56
MA010120220810356689,캐스터네츠 서울숲점,테라스,54
MA010120220810356689,캐스터네츠 서울숲점,포장,50
MA010120220810356689,캐스터네츠 서울숲점,수,48
MA010120220810356689,캐스터네츠 서울숲점,보다,47
MA010120220810356689,캐스터네츠 서울숲점,치즈버거,44
MA010120220810356689,캐스터네츠 서울숲점,들다,43
MA010120220810356689,캐스터네츠 서울숲점,랑,41
MA010120220810356689,캐스터네츠 서울숲점,없다,41
MA010120220810356689,캐스터네츠 서울숲점,감자,38
MA010120220810356689,캐스터네츠 서울숲점,신선하다,37
MA010120220810356689,캐스터네츠 서울숲점,집,37
MA010120220810356689,캐스터네츠 서울숲점,많다,36
MA010120220810356689,캐스터네츠 서울숲점,베이컨,35
MA010120220810356689,캐스터네츠 서울숲점,주차,35
MA010120220810356689,캐스터네츠 서울숲점,추천,35
MA010120220810356689,캐스터네츠 서울숲점,가다,34
MA010120220810356689,캐스터네츠 서울숲점,다,34
MA010120220810356689,캐스터네츠 서울숲점,방문,34
MA010120220810356689,캐스터네츠 서울숲점,플,34
MA010120220810356689,캐스터네츠 서울숲점,요,32
MA010120220810356689,캐스터네츠 서울숲점,재료,32
MA010120220810356689,캐스터네츠 서울숲점,테이블,32
MA010120220810356689,캐스터네츠 서울숲점,매장,31
MA010120220810356689,캐스터네츠 서울숲점,하모니,31
MA010120220810356689,캐스터네츠 서울숲점,날씨,30
MA010120220810356689,캐스터네츠 서울숲점,고구마,29
MA010120220810356689,캐스터네츠 서울숲점,뷰,29
MA010120220810356689,캐스터네츠 서울숲점,식사,29
MA010120220810356689,캐스터네츠 서울숲점,피크닉,29
MA010120220810356689,캐스터네츠 서울숲점,로트,28
MA010120220810356689,캐스터네츠 서울숲점,맛집,28
