상가업소번호,가게명,키워드,갯수
2223,누데이크 성수점,,106
2223,누데이크 성수점,맛있다,57
2223,누데이크 성수점,좋다,46
2223,누데이크 성수점,디저트,33
2223,누데이크 성수점,케이크,30
2223,누데이크 성수점,맛,24
2223,누데이크 성수점,많다,22
2223,누데이크 성수점,먹다,19
2223,누데이크 성수점,굿굿굿,15
2223,누데이크 성수점,분위기,14
2223,누데이크 성수점,독특하다,13
2223,누데이크 성수점,특이하다,13
2223,누데이크 성수점,인테리어,12
2223,누데이크 성수점,가격,11
2223,누데이크 성수점,사람,11
2223,누데이크 성수점,아니다,11
2223,누데이크 성수점,없다,11
2223,누데이크 성수점,커피,11
2223,누데이크 성수점,느낌,10
2223,누데이크 성수점,비싸다,10
2223,누데이크 성수점,친절하다,10
2223,누데이크 성수점,방문,9
2223,누데이크 성수점,빵,9
2223,누데이크 성수점,직원,9
2223,누데이크 성수점,크림,9
2223,누데이크 성수점,한번 쯤,9
2223,누데이크 성수점,그냥,8
2223,누데이크 성수점,별로,8
2223,누데이크 성수점,신기하다,8
2223,누데이크 성수점,예쁘다,8
2223,누데이크 성수점,피크 케이크,8
2223,누데이크 성수점,가다,7
2223,누데이크 성수점,들어가다,7
2223,누데이크 성수점,먹다 보다,7
2223,누데이크 성수점,버거,7
2223,누데이크 성수점,사람 많다,7
2223,누데이크 성수점,생기다,7
2223,누데이크 성수점,누데 이크,6
2223,누데이크 성수점,버거 케이크,6
2223,누데이크 성수점,새롭다,6
2223,누데이크 성수점,엄청,6
2223,누데이크 성수점,예약,6
2223,누데이크 성수점,웨이 팅,6
2223,누데이크 성수점,정도,6
2223,누데이크 성수점,힙하다,6
2223,누데이크 성수점,공간,5
2223,누데이크 성수점,굉장하다,5
2223,누데이크 성수점,그렇다,5
2223,누데이크 성수점,나다,5
2223,누데이크 성수점,디저트 많다,5
MA010120220812852251,노모어피자 서울숲점,,144
MA010120220812852251,노모어피자 서울숲점,맛있다,100
MA010120220812852251,노모어피자 서울숲점,피자,64
MA010120220812852251,노모어피자 서울숲점,먹다,47
MA010120220812852251,노모어피자 서울숲점,좋다,34
MA010120220812852251,노모어피자 서울숲점,치즈,20
MA010120220812852251,노모어피자 서울숲점,파스타,18
MA010120220812852251,노모어피자 서울숲점,도우,16
MA010120220812852251,노모어피자 서울숲점,맛,16
MA010120220812852251,노모어피자 서울숲점,토핑,15
MA010120220812852251,노모어피자 서울숲점,많다,13
MA010120220812852251,노모어피자 서울숲점,가다,12
MA010120220812852251,노모어피자 서울숲점,친절하다,11
MA010120220812852251,노모어피자 서울숲점,메뉴,10
MA010120220812852251,노모어피자 서울숲점,맛있게 먹다,9
MA010120220812852251,노모어피자 서울숲점,먹다 보다,9
MA010120220812852251,노모어피자 서울숲점,서울숲,9
MA010120220812852251,노모어피자 서울숲점,맛집,8
MA010120220812852251,노모어피자 서울숲점,추천,8
MA010120220812852251,노모어피자 서울숲점,포장,8
MA010120220812852251,노모어피자 서울숲점,피자 먹다,8
MA010120220812852251,노모어피자 서울숲점,노모 피자,7
MA010120220812852251,노모어피자 서울숲점,다양하다,7
MA010120220812852251,노모어피자 서울숲점,들어가다,7
MA010120220812852251,노모어피자 서울숲점,맛있다 피자,7
MA010120220812852251,노모어피자 서울숲점,방문,7
MA010120220812852251,노모어피자 서울숲점,분위기,7
MA010120220812852251,노모어피자 서울숲점,아니다,7
MA010120220812852251,노모어피자 서울숲점,엄청,7
MA010120220812852251,노모어피자 서울숲점,완전,7
MA010120220812852251,노모어피자 서울숲점,친구,7
MA010120220812852251,노모어피자 서울숲점,피자 ,7
MA010120220812852251,노모어피자 서울숲점,매장,6
MA010120220812852251,노모어피자 서울숲점,양,6
MA010120220812852251,노모어피자 서울숲점,여기다,6
MA010120220812852251,노모어피자 서울숲점,적당하다,6
MA010120220812852251,노모어피자 서울숲점,주문,6
MA010120220812852251,노모어피자 서울숲점,직원,6
MA010120220812852251,노모어피자 서울숲점,쫄깃,6
MA010120220812852251,노모어피자 서울숲점,고소하다,5
MA010120220812852251,노모어피자 서울숲점,깔끔하다,5
MA010120220812852251,노모어피자 서울숲점,도우 쫄깃,5
MA010120220812852251,노모어피자 서울숲점,신선하다,5
MA010120220812852251,노모어피자 서울숲점,오다,5
MA010120220812852251,노모어피자 서울숲점,오다 보다,5
MA010120220812852251,노모어피자 서울숲점,페퍼로니,5
MA010120220812852251,노모어피자 서울숲점,피자 맛집,5
MA010120220812852251,노모어피자 서울숲점,가게,4
MA010120220812852251,노모어피자 서울숲점,가격,4
MA010120220812852251,노모어피자 서울숲점,가성비,4
MA010120220804819197,문츠 바베큐,,116
MA010120220804819197,문츠 바베큐,맛있다,89
MA010120220804819197,문츠 바베큐,먹다,45
MA010120220804819197,문츠 바베큐,좋다,45
MA010120220804819197,문츠 바베큐,고기,34
