index,상가업소번호,가게명,키워드,갯수
0,MA010120220808201784,고든램지 스트리트 피자 서울숲점,고든 램지,26
1,MA010120220808201784,고든램지 스트리트 피자 서울숲점,피자 맛,17
2,MA010120220808201784,고든램지 스트리트 피자 서울숲점,피자 나오다,16
3,MA010120220808201784,고든램지 스트리트 피자 서울숲점,마르 게리 따다,14
4,MA010120220808201784,고든램지 스트리트 피자 서울숲점,피자 먹다,14
5,MA010120220808201784,고든램지 스트리트 피자 서울숲점,한번 쯤,14
6,MA010120220808201784,고든램지 스트리트 피자 서울숲점,화덕 피자,14
7,MA010120220802991908,쎄콩데live,좋은 분위기,22
8,MA010120220802991908,쎄콩데live,맛있는 음식,18
9,MA010120220802991908,쎄콩데live,맛있게 먹다,12
10,MA010120220802991908,쎄콩데live,콩 포트,12
11,MA010120220802991908,쎄콩데live,많은 종류,10
12,MA010120220802991908,쎄콩데live,친절한 직원,10
13,MA010120220814221305,성수옥상,좋은 분위기,80
14,MA010120220814221305,성수옥상,맛있는 음식,45
15,MA010120220814221305,성수옥상,좋다 음식,23
16,MA010120220814221305,성수옥상,맛있다 분위기,21
17,MA010120220814221305,성수옥상,친절한 직원,15
18,MA010120220814221305,성수옥상,안주 맛있다,13
19,MA010120220814221305,성수옥상,좋다 맛있다,11
20,MA010120220814221305,성수옥상,맛있다 와인,10
21,MA010120220814221305,성수옥상,친구이랑,10
22,MA010120220814221305,성수옥상,좋다 와인,9
23,MA010120220814221305,성수옥상,오다 싶다,8
24,MA010120220814221305,성수옥상,좋다 안주,8
25,2223,누데이크 성수점,피크 케이크,11
26,2223,누데이크 성수점,누데 이크,8
27,2223,누데이크 성수점,한번 쯤,7
28,2223,누데이크 성수점,누 데이 크다,6
29,MA010120220807012300,크림라벨 서울숲 본점,맛있게 먹다,16
30,MA010120220807012300,크림라벨 서울숲 본점,크림 라벨,14
31,MA010120220807012300,크림라벨 서울숲 본점,무화과 케이크,9
32,MA010120220807012300,크림라벨 서울숲 본점,달지 않다,8
33,MA010120220807012300,크림라벨 서울숲 본점,달지,6
34,MA010120220807012300,크림라벨 서울숲 본점,맛있다 케이크,6
35,MA010120220804611115,캐주얼성수,좋은 분위기,47
36,MA010120220804611115,캐주얼성수,맛있는 음식,35
37,MA010120220804611115,캐주얼성수,맛있다 분위기,16
38,MA010120220804611115,캐주얼성수,좋다 음식,14
39,MA010120220804611115,캐주얼성수,안주 맛있다,11
40,MA010120220804611115,캐주얼성수,친절한 직원,10
41,MA010120220804611115,캐주얼성수,맛있다 와인,7
42,MA010120220804611115,캐주얼성수,예쁜인테리어,7
43,MA010120220803025584,테니,퀸 망,23
44,MA010120220803025584,테니,빵 맛있다,13
45,MA010120220803025584,테니,좋은 분위기,11
46,MA010120220803025584,테니,맛있는 커피,6
47,MA010120220803025584,테니,많은 종류,5
48,MA010120220803025584,테니,예쁜인테리어,5
49,MA010120220809866172,노이,많은 양,19
50,MA010120220809866172,노이,나시 고 랭,17
51,MA010120220809866172,노이,베트남 음식,10
52,MA010120220809866172,노이,맛있게 먹다,8
54,MA010120220809866172,노이,맛있는 음식,7
