index,상가업소번호,가게명,키워드,갯수
1,MA010120220812242194,포가레 신촌점,반쎄오,24
2,MA010120220812242194,포가레 신촌점,반쎄오,18
3,MA010120220812242194,포가레 신촌점,곱창 쌀국수,13
4,MA010120220812242194,포가레 신촌점,양도 많다,9
6,MA010120220812242194,포가레 신촌점,맛있게 먹다,7
11,MA010120220812242194,포가레 신촌점,서비스 주다,5
12,MA010120220812242194,포가레 신촌점,친절한 직원분들,5
13,MA010120220812242194,포가레 신촌점,많다 맛있다,4
14,MA010120220812242194,포가레 신촌점,맛있다 서비스,4
15,MA010120220803188921,소바연구소,유린기,13
16,MA010120220803188921,소바연구소,맛있게 먹다,9
18,MA010120220803188921,소바연구소,웨이팅 팅,6
19,MA010120220803188921,소바연구소,고등어 온소바,5
20,MA010120220803188921,소바연구소,맛있다 유린기,5
21,MA010120220802929059,지니네컵밥,45천원 밥 먹기,8
22,MA010120220802929059,지니네컵밥,5천원 밖에,8
23,MA010120220802929059,지니네컵밥,가격 대도,8
24,MA010120220802929059,지니네컵밥,가격 대도 저렴하다,8
25,MA010120220802929059,지니네컵밥,가격 양도,8
26,MA010120220802929059,지니네컵밥,가끔 못 먹다,8
28,MA010120220802929059,지니네컵밥,가다 곳 가성비,8
29,MA010120220802929059,지니네컵밥,가성비 좋다,8
30,MA010120220802929059,지니네컵밥,가성비 짱짱인,8
31,MA010120220802929059,지니네컵밥,가성비 최고 맛 요,8
32,MA010120220802929059,지니네컵밥,곳 이에요,8
33,MA010120220802929059,지니네컵밥,구매 요,8
34,MA010120220802929059,지니네컵밥,금액 5천원,8
35,MA010120220802929059,지니네컵밥,남다 정도,8
37,MA010120220802929059,지니네컵밥,덮밥 이나,8
38,MA010120220802929059,지니네컵밥,덮밥 이나 덮밥 이나 비빔밥 처럼,8
39,MA010120220802929059,지니네컵밥,많다 금액,8
40,MA010120220802929059,지니네컵밥,많다 맛있다,8
41,MA010120220802929059,지니네컵밥,많이 주다,8
42,MA010120220802929059,지니네컵밥,많이 줄다,8
43,MA010120220802929059,지니네컵밥,맛있다 컵밥,8
44,MA010120220802929059,지니네컵밥,맛있다 푸짐하다해 요,8
45,MA010120220802929059,지니네컵밥,맛집 완전,8
46,MA010120220802929059,지니네컵밥,모이다 식당 박 스퀘어,8
47,MA010120220802929059,지니네컵밥,못 먹다,8
48,MA010120220802929059,지니네컵밥,못 먹다 남다,8
49,MA010120220802929059,지니네컵밥,박 스퀘어,8
50,MA010120220802929059,지니네컵밥,박 스퀘어 모이다,8
51,MA010120220802929059,지니네컵밥,박 스퀘어 컵밥,8
52,MA010120220807413424,영미김밥,맛있다 친절하다,3
53,MA010120220807413424,영미김밥,미니 콤보,3
54,MA010120220807413424,영미김밥,킹 새우김밥,3
55,MA010120220807413424,영미김밥,가다 단골 집,2
56,MA010120220807413424,영미김밥,가성비 좋다,2
57,MA010120220807413424,영미김밥,김밥 진짜,2
58,MA010120220807413424,영미김밥,단골 집,2
59,MA010120220807413424,영미김밥,먹기 좋다,2
60,MA010120220807413424,영미김밥,비건김밥 맛있다,2
61,MA010120220807413424,영미김밥,정신 없다,2
62,MA010120220807413424,영미김밥,제육 덮밥 보다 나은,2
63,MA010120220807413424,영미김밥,진짜 맛있다,2
64,MA010120220807413424,영미김밥,식 감다,1
65,MA010120220807413424,영미김밥,1년 넘다,1
66,MA0101202210A0088461,매머드익스프레스 신촌점,가격 대비,1
67,MA0101202210A0088461,매머드익스프레스 신촌점,가능하다 좋다,1
68,MA0101202210A0088461,매머드익스프레스 신촌점,가성비 엄지 척,1
69,MA0101202210A0088461,매머드익스프레스 신촌점,가성비 조아 조아,1
70,MA0101202210A0088461,매머드익스프레스 신촌점,가성비 좋다,1
71,MA0101202210A0088461,매머드익스프레스 신촌점,가성비 최고,1
72,MA0101202210A0088461,매머드익스프레스 신촌점,대비 맛있다,1
73,MA0101202210A0088461,매머드익스프레스 신촌점,라떼 맛있다,1
