상가업소번호,가게명,키워드,갯수
MA010120220802929059,지니네컵밥,가성비 좋다,16
MA010120220802929059,지니네컵밥,간단하다 먹기,16
MA010120220802929059,지니네컵밥,많다 사장님,16
MA010120220802929059,지니네컵밥,양도 많다,16
MA010120220802929059,지니네컵밥,친절한 사장님,16
MA010120220802929059,지니네컵밥,4500원 이렇다,8
MA010120220802929059,지니네컵밥,가격 싸다,8
MA010120220802929059,지니네컵밥,간단하다 요기,8
MA010120220802929059,지니네컵밥,강추 요,8
MA010120220802929059,지니네컵밥,거 에요,8
MA010120220802929059,지니네컵밥,건강하다 양도 많다,8
MA010120220802929059,지니네컵밥,계란 반숙,8
MA010120220802929059,지니네컵밥,고기 양,8
MA010120220802929059,지니네컵밥,과일 도시락 맛있다,8
MA010120220802929059,지니네컵밥,근처 대학생 분들 내용물,8
MA010120220802929059,지니네컵밥,김 가루,8
MA010120220802929059,지니네컵밥,김 가루 반숙 계란,8
MA010120220802929059,지니네컵밥,나오다 완전,8
MA010120220802929059,지니네컵밥,내용물 풍부하다,8
MA010120220802929059,지니네컵밥,너무 적기,8
MA010120220802929059,지니네컵밥,대접 밥,8
MA010120220802929059,지니네컵밥,대접 밥 수준,8
MA010120220802929059,지니네컵밥,대학생 분들,8
MA010120220809408624,독립문설렁탕,가성비 좋다,13
MA010120220809408624,독립문설렁탕,맛 좋다,8
MA010120220809408624,독립문설렁탕,양도 많다,6
MA010120220809408624,독립문설렁탕,가격 대비,4
MA010120220809408624,독립문설렁탕,김치 맛있다,4
MA010120220809408624,독립문설렁탕,맛있게 먹다,4
MA010120220809408624,독립문설렁탕,가격 저렴하다,3
MA010120220809408624,독립문설렁탕,고기 많이,3
MA010120220806851648,플라페,꽃 사장님,9
MA010120220806851648,플라페,매니저 님,8
MA010120220806851648,플라페,동그라미 매니저 님,7
MA010120220806851648,플라페,직원 님,7
MA010120220806851648,플라페,푸딩 맛있다,7
MA010120220806851648,플라페,팅커벨 직원 님,6
3318,탈리,분위기 좋다,19
3318,탈리,너무 맛있다,17
3318,탈리,너무 좋다,11
3318,탈리,2 층,9
3318,탈리,베이글 너무,8
3318,탈리,베이글 맛있다,8
3318,탈리,베이글 샌드위치,8
3318,탈리,크림 치즈,8
3318,탈리,맛있게 먹다,7
3318,탈리,분위기 너무,7
3318,탈리,커피 맛있다,6
3318,탈리,맛있다 베이글,5
3318,탈리,맛있다 커피,5
3318,탈리,먹다 맛있다,5
3318,탈리,바질 크림 치즈,5
MA010120220812266399,천궁전마라탕,너무 맛있다,19
MA010120220812266399,천궁전마라탕,마라탕 먹다,5
MA010120220812266399,천궁전마라탕,진짜 맛있다,4
MA010120220812266399,천궁전마라탕,마라탕 맛있다,3
MA010120220812266399,천궁전마라탕,맛있게 먹다,3
MA010120220812266399,천궁전마라탕,먹다 오다,3
MA010120220812266399,천궁전마라탕,자주 오다,3
MA010120220812266399,천궁전마라탕,천 궁전,3
MA010120220812266399,천궁전마라탕,친절한 직원분,3
MA010120220812266399,천궁전마라탕,항상 맛있다,3
MA010120220814279612,기꾸스시,맛있게 먹다,8
MA010120220814279612,기꾸스시,점심 특선,8
MA010120220814279612,기꾸스시,듬 초밥,6
MA010120220814279612,기꾸스시,가게 내부,4
MA010120220814279612,기꾸스시,가성비 좋다,4
MA010120220814279612,기꾸스시,가성비 좋다,4
MA010120220814279612,기꾸스시,기 꾸다 스시,4
MA010120220814279612,기꾸스시,너무 좋다,4
MA010120220814279612,기꾸스시,맛집 이에요,4
MA010120220814279612,기꾸스시,사람 많다,4
MA010120220814279612,기꾸스시,신촌 초밥,4
MA010120220814145908,마더린러 베이글,크림 치즈,15
MA010120220814145908,마더린러 베이글,너무 맛있다,8
MA010120220814145908,마더린러 베이글,베이글 맛있다,6
MA010120220814145908,마더린러 베이글,베이글 맛집,5
MA010120220814145908,마더린러 베이글,마더 린러,4
MA010120220814145908,마더린러 베이글,베이글 크림 치즈,4
MA010120220814145908,마더린러 베이글,맛있다 베이글,3
MA010120220814145908,마더린러 베이글,베이글 샌드위치,3
MA010120220814145908,마더린러 베이글,블루베리 베이글,3
MA010120220814145908,마더린러 베이글,종류 많다,3
MA010120220814145908,마더린러 베이글,크림 치즈 맛있다,3
MA010120220814145908,마더린러 베이글,다양하다 크림 치즈,2
MA010120220814145908,마더린러 베이글,당일 먹다,2
MA010120220814145908,마더린러 베이글,마더 린러 베이글,2
MA010120220814145908,마더린러 베이글,배 이글,2
MA010120220814145908,마더린러 베이글,베이글 너무,2
MA010120220814145908,마더린러 베이글,사람 많다,2
MA010120220807413424,영미김밥,김밥 맛있다,6
MA010120220807413424,영미김밥,김밥 집,5
MA010120220807413424,영미김밥,김밥 먹다,3
MA010120220807413424,영미김밥,너무 맛있다,2
MA010120220807413424,영미김밥,단체 주문,2
MA010120220807413424,영미김밥,든든하다 한 끼,2
MA010120220807413424,영미김밥,맛있다 김밥,2
MA010120220807413424,영미김밥,맛있다 김밥 집,2
MA010120220809791149,투썸플레이스 이대역점,매장 넓다,5
MA010120220809791149,투썸플레이스 이대역점,넓다 좋다,4
MA010120220809791149,투썸플레이스 이대역점,많다 좋다,3
MA010120220809791149,투썸플레이스 이대역점,사람 많다,3
MA010120220809791149,투썸플레이스 이대역점,투썸 케이크,3
MA010120220809791149,투썸플레이스 이대역점,너무 불친절하다,2
MA010120220809791149,투썸플레이스 이대역점,매장 크다,2
MA010120220809791149,투썸플레이스 이대역점,생각 보다,2
MA010120220809791149,투썸플레이스 이대역점,업무 보기,2
MA010120220809791149,투썸플레이스 이대역점,역시 투썸,2
MA010120220809791149,투썸플레이스 이대역점,음료 맛있다,2
MA010120220809791149,투썸플레이스 이대역점,좋다 좋다,2
MA010120220800626353,형제갈비,맛있게 먹다,6
MA010120220800626353,형제갈비,깔끔하다 맛있다,3
MA010120220800626353,형제갈비,맛 요,3
MA010120220800626353,형제갈비,양도 많다,3
MA010120220800626353,형제갈비,음식 맛있다,3
MA010120220800626353,형제갈비,진짜 맛있다,3
MA010120220800626353,형제갈비,갈비 맛있다,2
MA010120220800626353,형제갈비,갈비 먹다,2
MA010120220800626353,형제갈비,고기 많다,2
MA010120220800626353,형제갈비,고기 양,2
MA010120220800626353,형제갈비,너무 맛있다,2
MA010120220800626353,형제갈비,다 먹다,2
MA010120220800625157,잠바주스 연세세브란스점,코코넛 커피,4
MA010120220800625157,잠바주스 연세세브란스점,너무 느리다,3
MA010120220800625157,잠바주스 연세세브란스점,3 층,2
MA010120220800625157,잠바주스 연세세브란스점,가격 살짝,2
MA010120220800625157,잠바주스 연세세브란스점,가면 서,2
MA010120220800625157,잠바주스 연세세브란스점,건강하다 음료,2
MA010120220800625157,잠바주스 연세세브란스점,암 병원,2
MA010120220800625157,잠바주스 연세세브란스점,커피 맛있다,2
MA010120220800625157,잠바주스 연세세브란스점,코코넛 커피 좋다,2
MA010120220800625157,잠바주스 연세세브란스점,비싸다 뿐,1
MA010120220800625157,잠바주스 연세세브란스점,20분 가까이,1
MA010120220800625157,잠바주스 연세세브란스점,20분 걸리다,1
MA010120220800625157,잠바주스 연세세브란스점,2천 3천,1
MA010120220800625157,잠바주스 연세세브란스점,2천 3천 선인 뎅,1
MA010120220800625157,잠바주스 연세세브란스점,3 층 위치,1
MA010120220800625157,잠바주스 연세세브란스점,4천원 정도면,1
MA010120220800625157,잠바주스 연세세브란스점,500원 짜리 사탕,1
MA010120220800625157,잠바주스 연세세브란스점,500원 추가 500원 짜리,1
MA010120220800625157,잠바주스 연세세브란스점,주스 생각,1
MA010120220814100801,커피크레페본점,너무 맛있다,9
MA010120220814100801,커피크레페본점,너무 귀엽다,7
MA010120220814100801,커피크레페본점,진짜 맛있다,5
MA010120220814100801,커피크레페본점,너무 너무,4
MA010120220814100801,커피크레페본점,맛 좋다,4
MA010120220814100801,커피크레페본점,친절한 사장님,4
MA010120220814100801,커피크레페본점,크레페 너무,4
MA010120220814100801,커피크레페본점,가성비 좋다,3
MA010120220814100801,커피크레페본점,들다 보다,3
MA010120220814100801,커피크레페본점,딸기 크림 브륄레,3
MA010120220814100801,커피크레페본점,맛있다 크레페,3
MA0101202210A0088461,매머드익스프레스 신촌점,가성비 좋다,4
MA0101202210A0088461,매머드익스프레스 신촌점,스마트 오다,3
MA0101202210A0088461,매머드익스프레스 신촌점,맛 좋다,2
