상가업소번호,가게명,키워드,갯수
MA010120220814100801,커피크레페본점,,9104
MA010120220814100801,커피크레페본점,맛있다,858
MA010120220814100801,커피크레페본점,크레페,620
MA010120220814100801,커피크레페본점,먹다,584
MA010120220814100801,커피크레페본점,너무,574
MA010120220814100801,커피크레페본점,귀엽다,393
MA010120220814100801,커피크레페본점,좋다,329
MA010120220814100801,커피크레페본점,딸기,205
MA010120220814100801,커피크레페본점,맛,205
MA010120220814100801,커피크레페본점,오다,171
MA010120220814100801,커피크레페본점,친절하다,169
MA010120220814100801,커피크레페본점,님,157
MA010120220814100801,커피크레페본점,사장,157
MA010120220814100801,커피크레페본점,보다,151
MA010120220814100801,커피크레페본점,진짜,138
MA010120220814100801,커피크레페본점,예쁘다,137
MA010120220814100801,커피크레페본점,신촌,124
MA010120220814100801,커피크레페본점,들다,114
MA010120220814100801,커피크레페본점,크림,111
MA010120220814100801,커피크레페본점,토핑,100
MA010120220814100801,커피크레페본점,다,99
MA010120220814100801,커피크레페본점,주문,88
MA010120220814100801,커피크레페본점,브륄레,87
MA010120220814100801,커피크레페본점,정말,86
MA010120220814100801,커피크레페본점,커피,85
MA010120220814100801,커피크레페본점,과일,81
MA010120220814100801,커피크레페본점,많다,80
MA010120220814100801,커피크레페본점,맛집,80
MA010120220814100801,커피크레페본점,아이스크림,76
MA010120220814100801,커피크레페본점,달달,75
MA010120220814100801,커피크레페본점,디저트,75
MA010120220814100801,커피크레페본점,랑,73
MA010120220814100801,커피크레페본점,완전,73
MA010120220814100801,커피크레페본점,방문,72
MA010120220814100801,커피크레페본점,메뉴,71
MA010120220814100801,커피크레페본점,먹기,68
MA010120220814100801,커피크레페본점,에도,67
MA010120220814100801,커피크레페본점,추천,67
MA010120220814100801,커피크레페본점,사진,66
MA010120220814100801,커피크레페본점,싶다,66
MA010120220814100801,커피크레페본점,요,64
MA010120220814100801,커피크레페본점,없다,61
MA010120220814100801,커피크레페본점,엄청,58
MA010120220814100801,커피크레페본점,이쁘다,54
MA010120220814100801,커피크레페본점,체리,54
MA010120220814100801,커피크레페본점,추가,54
MA010120220814100801,커피크레페본점,되다,53
MA010120220814100801,커피크레페본점,이에요,53
MA010120220814100801,커피크레페본점,가다,51
MA010120220814100801,커피크레페본점,비주,48
MA0101202301A0105088,백소정 신촌점,,4468
MA0101202301A0105088,백소정 신촌점,맛있다,792
MA0101202301A0105088,백소정 신촌점,너무,267
MA0101202301A0105088,백소정 신촌점,먹다,257
MA0101202301A0105088,백소정 신촌점,좋다,254
MA0101202301A0105088,백소정 신촌점,소바,204
MA0101202301A0105088,백소정 신촌점,오다,171
MA0101202301A0105088,백소정 신촌점,매장,164
MA0101202301A0105088,백소정 신촌점,깔끔하다,162
MA0101202301A0105088,백소정 신촌점,마제,150
MA0101202301A0105088,백소정 신촌점,다,134
MA0101202301A0105088,백소정 신촌점,보다,125
MA0101202301A0105088,백소정 신촌점,음식,119
MA0101202301A0105088,백소정 신촌점,돈까스,110
MA0101202301A0105088,백소정 신촌점,친절하다,99
MA0101202301A0105088,백소정 신촌점,넓다,85
MA0101202301A0105088,백소정 신촌점,맛,74
MA0101202301A0105088,백소정 신촌점,생기,74
MA0101202301A0105088,백소정 신촌점,깨끗하다,73
MA0101202301A0105088,백소정 신촌점,메뉴,73
MA0101202301A0105088,백소정 신촌점,많다,72
MA0101202301A0105088,백소정 신촌점,신촌,70
MA0101202301A0105088,백소정 신촌점,백,69
MA0101202301A0105088,백소정 신촌점,카츠,63
MA0101202301A0105088,백소정 신촌점,처음,59
MA0101202301A0105088,백소정 신촌점,맛집,58
MA0101202301A0105088,백소정 신촌점,돈카츠,57
MA0101202301A0105088,백소정 신촌점,직원,57
MA0101202301A0105088,백소정 신촌점,소정,56
MA0101202301A0105088,백소정 신촌점,치즈,56
MA0101202301A0105088,백소정 신촌점,방문,53
MA0101202301A0105088,백소정 신촌점,진짜,53
MA0101202301A0105088,백소정 신촌점,나오다,43
MA0101202301A0105088,백소정 신촌점,새롭다,41
MA0101202301A0105088,백소정 신촌점,엄청,41
MA0101202301A0105088,백소정 신촌점,추천,39
MA0101202301A0105088,백소정 신촌점,인테리어,38
MA0101202301A0105088,백소정 신촌점,자주,38
MA0101202301A0105088,백소정 신촌점,요,37
MA0101202301A0105088,백소정 신촌점,정말,37
MA0101202301A0105088,백소정 신촌점,양도,33
MA0101202301A0105088,백소정 신촌점,청결하다,33
MA0101202301A0105088,백소정 신촌점,튀김,33
MA0101202301A0105088,백소정 신촌점,분들,29
MA0101202301A0105088,백소정 신촌점,우동,28
MA0101202301A0105088,백소정 신촌점,고기,27
MA0101202301A0105088,백소정 신촌점,두,27
MA0101202301A0105088,백소정 신촌점,구성,26
MA0101202301A0105088,백소정 신촌점,카레,26
MA0101202301A0105088,백소정 신촌점,혼밥,26
MA0101202212A0005803,룸의정석 신촌점,,4624
MA0101202212A0005803,룸의정석 신촌점,좋다,382
MA0101202212A0005803,룸의정석 신촌점,안주,232
MA0101202212A0005803,룸의정석 신촌점,헌팅,199
MA0101202212A0005803,룸의정석 신촌점,맛있다,180
MA0101202212A0005803,룸의정석 신촌점,재밌다,161
MA0101202212A0005803,룸의정석 신촌점,다,157
MA0101202212A0005803,룸의정석 신촌점,너무,156
MA0101202212A0005803,룸의정석 신촌점,룸,150
MA0101202212A0005803,룸의정석 신촌점,놀다,127
MA0101202212A0005803,룸의정석 신촌점,게임,120
MA0101202212A0005803,룸의정석 신촌점,분위기,108
MA0101202212A0005803,룸의정석 신촌점,곳,95
MA0101202212A0005803,룸의정석 신촌점,많다,92
MA0101202212A0005803,룸의정석 신촌점,술집,88
MA0101202212A0005803,룸의정석 신촌점,친구,88
MA0101202212A0005803,룸의정석 신촌점,친절하다,87
MA0101202212A0005803,룸의정석 신촌점,먹다,84
MA0101202212A0005803,룸의정석 신촌점,술,78
MA0101202212A0005803,룸의정석 신촌점,진짜,77
MA0101202212A0005803,룸의정석 신촌점,깔끔하다,75
MA0101202212A0005803,룸의정석 신촌점,오다,69
MA0101202212A0005803,룸의정석 신촌점,가다,66
MA0101202212A0005803,룸의정석 신촌점,이랑,65
MA0101202212A0005803,룸의정석 신촌점,정말,64
MA0101202212A0005803,룸의정석 신촌점,직원,63
MA0101202212A0005803,룸의정석 신촌점,분들,55
MA0101202212A0005803,룸의정석 신촌점,되다,52
MA0101202212A0005803,룸의정석 신촌점,자다,51
MA0101202212A0005803,룸의정석 신촌점,정석,50
MA0101202212A0005803,룸의정석 신촌점,편하다,49
MA0101202212A0005803,룸의정석 신촌점,말다,47
MA0101202212A0005803,룸의정석 신촌점,다양하다,45
MA0101202212A0005803,룸의정석 신촌점,방문,44
MA0101202212A0005803,룸의정석 신촌점,비,44
MA0101202212A0005803,룸의정석 신촌점,들다,43
MA0101202212A0005803,룸의정석 신촌점,방,42
MA0101202212A0005803,룸의정석 신촌점,신촌,41
MA0101202212A0005803,룸의정석 신촌점,완전,40
MA0101202212A0005803,룸의정석 신촌점,채팅,39
MA0101202212A0005803,룸의정석 신촌점,이에요,38
MA0101202212A0005803,룸의정석 신촌점,가보다,37
MA0101202212A0005803,룸의정석 신촌점,엄청,37
MA0101202212A0005803,룸의정석 신촌점,대화,36
MA0101202212A0005803,룸의정석 신촌점,되어다,36
MA0101202212A0005803,룸의정석 신촌점,보다,36
MA0101202212A0005803,룸의정석 신촌점,가성,35
MA0101202212A0005803,룸의정석 신촌점,시설,35
MA0101202212A0005803,룸의정석 신촌점,끼리,34
MA0101202212A0005803,룸의정석 신촌점,님,34
MA0101202211A0090992,대끼리돈까스,,7233
MA0101202211A0090992,대끼리돈까스,맛있다,551
MA0101202211A0090992,대끼리돈까스,먹다,423
MA0101202211A0090992,대끼리돈까스,돈까스,372
MA0101202211A0090992,대끼리돈까스,너무,283
MA0101202211A0090992,대끼리돈까스,부드럽다,263
MA0101202211A0090992,대끼리돈까스,좋다,244
MA0101202211A0090992,대끼리돈까스,고기,221
MA0101202211A0090992,대끼리돈까스,소스,217
MA0101202211A0090992,대끼리돈까스,오다,162
MA0101202211A0090992,대끼리돈까스,보다,152
