상가업소번호,가게명,keyword30_1,keyword30_2
1109,어니언안국,"[('', 7099), ('맛있다', 501), ('좋다', 458), ('빵', 434), ('너무', 281), ('많다', 229), ('한', 188), ('옥', 171), ('대체', 168), ('리뷰', 168), ('분위기', 149), ('친절하다', 147), ('커피', 145), ('다', 144), ('사람', 143), ('소금', 119), ('직원', 118), ('먹다', 117), ('자리', 114), ('가다', 108), ('보다', 108), ('카페', 103), ('맛', 99), ('어니언', 89), ('예쁘다', 87), ('분들', 86), ('않다', 76), ('웨이', 75), ('팅', 75), ('인테리어', 73), ('오다', 64), ('음료', 64), ('요', 59), ('라떼', 57), ('정말', 54), ('팡', 54), ('앉다', 53), ('종류', 51), ('도르다', 50), ('이르다', 49), ('진짜', 49), ('곳', 48), ('인데', 48), ('정도', 48), ('엄청', 47), ('적', 47), ('들다', 46), ('분', 45), ('넓다', 44), ('아니다', 44)]","[('좋다', 146), ('맛있다', 128), ('', 91), ('대체', 84), ('대체 리뷰', 84), ('리뷰', 84), ('빵', 73), ('너무', 64), ('많다', 63), ('분위기', 43), ('사람', 41), ('맛있다 ', 40), ('커피', 37), ('한옥', 34), ('친절하다', 28), ('분위기 좋다', 27), ('소금빵', 27), ('가다', 25), ('사람 많다', 25), ('어니언', 25), ('직원분들', 22), ('빵 맛있다', 21), ('먹다', 20), ('예쁘다', 20), ('너무 좋다', 19), ('웨이팅', 18), ('음료', 16), ('인테리어', 16), ('카페', 16), ('너무 맛있다', 15), ('엄청', 15), ('넓다', 14), ('맛', 14), ('멋지다', 14), ('그냥', 13), ('디저트', 13), ('팡 도르다', 13), ('유명하다', 12), ('자리', 12), ('정말', 12), ('진짜', 12), ('맛있는 커피', 11), ('맛있다  분위기', 11), ('앉다', 11), ('않다', 11), ('기다리다', 10), ('분위기 너무', 10), ('종류', 10), ('나오다', 9), ('맛집', 9)]"
1104,오설록티 하우스 북촌점,"[('', 3061), ('좋다', 257), ('맛있다', 173), ('너무', 124), ('북촌', 90), ('대체', 82), ('리뷰', 82), ('오설록', 81), ('티', 72), ('분위기', 70), ('층', 66), ('녹차', 63), ('다', 62), ('뷰', 61), ('예쁘다', 58), ('음료', 57), ('칵테일', 52), ('인테리어', 45), ('디저트', 43), ('3', 41), ('바', 40), ('메뉴', 37), ('가다', 36), ('멋지다', 36), ('보다', 36), ('맛', 35), ('직원', 35), ('곳', 34), ('정말', 32), ('친절하다', 32), ('공간', 31), ('먹다', 28), ('방문', 28), ('깔끔하다', 26), ('사람', 26), ('많이', 24), ('되다', 23), ('설다', 22), ('많다', 21), ('없다', 21), ('차', 21), ('건물', 20), ('들다', 20), ('자리', 20), ('즐기다', 20), ('카페', 20), ('가보다', 19), ('빙수', 19), ('아니다', 18), ('차도', 18)]","[('좋다', 77), ('', 53), ('대체', 41), ('대체 리뷰', 41), ('리뷰', 41), ('맛있다', 34), ('너무', 33), ('뷰', 20), ('분위기', 19), ('북촌', 17), ('오설록', 17), ('예쁘다', 16), ('맛있다 ', 14), ('분위기 좋다', 14), ('음료', 14), ('3층', 13), ('디저트', 13), ('친절하다', 11), ('너무 좋다', 10), ('인테리어', 10), ('가다', 9), ('멋지다', 9), ('뷰 좋다', 9), ('깔끔하다', 8), ('너무 맛있다', 8), ('녹차', 8), ('맛', 8), ('정말', 8), ('공간', 7), ('직원', 7), ('곳', 6), ('많다', 6), ('먹다', 6), ('차', 6), ('차도', 6), ('건물', 5), ('날씨', 5), ('되다', 5), ('많이', 5), ('사람', 5), ('쉬다', 5), ('없다', 5), ('역시', 5), ('즐기다', 5), ('티  칵테일', 5), ('향', 5), ('가격', 4), ('가보다', 4), ('나오다', 4), ('녹차라떼', 4)]"
1115,블루보틀 삼청 카페,"[('', 1961), ('커피', 138), ('좋다', 116), ('맛있다', 114), ('너무', 70), ('리뷰', 61), ('맛', 60), ('대체', 58), ('친절하다', 57), ('보틀', 48), ('블루', 48), ('없다', 43), ('층', 43), ('사람', 41), ('보다', 40), ('많다', 38), ('다', 33), ('라떼', 32), ('자리', 32), ('직원', 32), ('주문', 30), ('먹다', 28), ('받다', 27), ('비싸다', 27), ('말다', 25), ('오다', 25), ('뷰', 24), ('점', 24), ('2', 22), ('분위기', 22), ('예쁘다', 22), ('인테리어', 22), ('삼청', 21), ('불편하다', 20), ('곳', 19), ('산미', 19), ('가다', 18), ('않다', 18), ('인', 18), ('좌석', 18), ('앉다', 17), ('정말', 17), ('추천', 16), ('분', 15), ('분들', 15), ('주말', 15), ('풍경', 15), ('적다', 14), ('가격', 13), ('아메리카노', 13)]","[('좋다', 45), ('', 35), ('맛있다', 34), ('커피', 31), ('리뷰', 30), ('대체', 29), ('대체 리뷰', 29), ('친절하다', 23), ('블루보틀', 14), ('너무', 13), ('맛있는 커피', 11), ('없다', 10), ('많다', 9), ('맛', 8), ('맛있다 ', 8), ('라떼', 7), ('사람', 7), ('예쁘다', 7), ('인테리어', 7), ('좌석', 7), ('주문', 7), ('먹다', 6), ('비싸다', 6), ('산미', 6), ('자리', 6), ('커피 맛', 6), ('마시다', 5), ('받다', 5), ('분위기', 5), ('뷰', 5), ('삼청점', 5), ('앉다', 5), ('정말', 5), ('직원분들', 5), ('2층', 4), ('가격', 4), ('가다', 4), ('감사하다', 4), ('너무 맛있다', 4), ('멋지다', 4), ('보다', 4), ('불편하다', 4), ('사람 많다', 4), ('않다', 4), ('적다', 4), ('추천하다', 4), ('1층', 3), ('3층', 3), ('곳', 3), ('다르다', 3)]"
1103,프릳츠  원서점,"[('', 1565), ('맛있다', 177), ('커피', 147), ('좋다', 134), ('대체', 64), ('리뷰', 64), ('너무', 56), ('빵', 55), ('분위기', 47), ('야외', 43), ('프릳츠', 39), ('한', 32), ('다', 30), ('맛', 27), ('많다', 26), ('옥', 25), ('점', 23), ('랑', 22), ('자리', 22), ('예쁘다', 21), ('친절하다', 21), ('참새', 20), ('산미', 18), ('테이블', 18), ('브리', 17), ('산딸기', 17), ('오슈', 17), ('인테리어', 17), ('앉다', 16), ('카페', 16), ('먹다', 15), ('아쉽다', 15), ('가다', 14), ('날씨', 14), ('방문', 14), ('보다', 14), ('사람', 14), ('좋아하다', 14), ('직원', 14), ('말다', 12), ('멋지다', 12), ('분들', 12), ('없다', 12), ('공간', 11), ('대화', 11), ('라떼', 11), ('매장', 11), ('불편하다', 11), ('어울리다', 11), ('오다', 11)]","[('맛있다', 53), ('좋다', 46), ('커피', 36), ('대체', 32), ('대체 리뷰', 32), ('리뷰', 32), ('', 25), ('맛있는 커피', 17), ('너무', 14), ('분위기', 14), ('빵', 12), ('프릳츠', 9), ('너무 맛있다', 8), ('분위기 좋다', 8), ('맛있다 ', 7), ('빵 맛있다', 7), ('야외', 7), ('많다', 6), ('산미', 6), ('참새', 6), ('멋지다', 5), ('브리오슈', 5), ('앉다', 5), ('예쁘다', 5), ('인테리어', 5), ('자리', 5), ('친절하다', 5), ('공간', 4), ('덥다', 4), ('라떼', 4), ('먹다', 4), ('불편하다', 4), ('아쉽다', 4), ('직원분들', 4), ('카페', 4), ('커피 맛', 4), ('커피랑', 4), ('곳', 3), ('너무 좋다', 3), ('대화', 3), ('맛', 3), ('맛있다 빵', 3), ('방문', 3), ('산딸기 크루아상', 3), ('않다', 3), ('어울리다', 3), ('없다', 3), ('원두', 3), ('좋아하다', 3), ('최고', 3)]"
1100,소금집델리 안국,"[('', 2338), ('맛있다', 180), ('먹다', 136), ('잠봉뵈르', 132), ('맛', 81), ('포장', 55), ('좋다', 54), ('다', 50), ('잠봉', 50), ('샌드위치', 47), ('않다', 42), ('웨이', 39), ('팅', 39), ('대체', 38), ('리뷰', 38), ('짜다', 38), ('버터', 36), ('보다', 34), ('너무', 32), ('집', 32), ('소금', 30), ('방문', 28), ('싶다', 26), ('진짜', 26), ('프로', 24), ('가다', 23), ('들어가다', 23), ('아니다', 23), ('햄', 23), ('당근', 21), ('마쥬', 21), ('만', 20), ('사람', 20), ('오다', 20), ('대기', 18), ('메뉴', 18), ('바게트', 18), ('지다', 18), ('파스트라미', 18), ('정말', 17), ('테이블', 17), ('가격', 16), ('랑', 16), ('많다', 16), ('빵', 16), ('유명하다', 16), ('그렇다', 15), ('나오다', 15), ('라', 15), ('없다', 15)]","[('', 39), ('맛있다', 39), ('잠봉뵈르', 32), ('좋다', 20), ('대체', 19), ('대체 리뷰', 19), ('리뷰', 19), ('먹다', 19), ('맛있다 ', 15), ('맛', 12), ('포장', 11), ('웨이팅', 9), ('잠봉', 9), ('너무', 8), ('샌드위치', 8), ('진짜', 8), ('짜다', 8), ('버터', 7), ('않다', 7), ('들어가다', 6), ('사람', 6), ('싶다', 6), ('가격', 5), ('유명하다', 5), ('잠봉뵈르  맛있다', 5), ('가다', 4), ('나오다', 4), ('너무 맛있다', 4), ('많다', 4), ('맛있다  잠봉뵈르', 4), ('바게트', 4), ('방문', 4), ('소금집', 4), ('정말', 4), ('좋아하다', 4), ('짜지다 않다', 4), ('파스트라미', 4), ('햄', 4), ('가장', 3), ('그냥', 3), ('금요일', 3), ('당근 라 페', 3), ('떠오르다', 3), ('맛 아니다', 3), ('맛있다 다', 3), ('맛집', 3), ('먹다 보다', 3), ('메뉴', 3), ('보다', 3), ('비싸다', 3)]"
MA010120220811823342,땡스오트 안국,"[('', 1819), ('맛있다', 163), ('요거트', 110), ('좋다', 102), ('먹다', 86), ('그렇다', 57), ('그릭', 49), ('너무', 47), ('샌드위치', 43), ('보다', 40), ('대체', 36), ('리뷰', 36), ('없다', 33), ('체리', 32), ('가다', 30), ('무화과', 30), ('예쁘다', 30), ('매장', 24), ('메뉴', 24), ('아쉽다', 24), ('연어', 24), ('층', 24), ('맛', 22), ('곳', 21), ('느낌', 21), ('바삭', 21), ('이르다', 21), ('좋아하다', 21), ('조용하다', 19), ('꾸다', 18), ('다', 18), ('덕', 18), ('들다', 18), ('많이', 18), ('먹기', 18), ('베', 18), ('엄청', 18), ('인데', 18), ('점', 18), ('정말', 18), ('판매', 18), ('건강하다', 16), ('비싸다', 16), ('안되다', 16), ('방문', 15), ('깔끔하다', 14), ('요', 14), ('집', 13), ('2', 12), ('고', 12)]","[('맛있다', 46), ('좋다', 34), ('', 24), ('그렇다', 19), ('요거트', 19), ('대체', 18), ('대체 리뷰', 18), ('리뷰', 18), ('먹다', 17), ('그릭 요거트', 16), ('맛있다 ', 14), ('예쁘다', 12), ('샌드위치', 10), ('가다', 9), ('없다', 9), ('너무', 8), ('너무 맛있다', 8), ('메뉴', 8), ('아쉽다', 8), ('건강하다', 7), ('느낌', 7), ('먹기', 6), ('비싸다', 6), ('엄청', 6), ('정말', 6), ('체리', 6), ('곳', 5), ('깔끔하다', 5), ('맛', 5), ('무화과', 5), ('바삭', 5), ('바삭 맛있다', 5), ('2층', 4), ('굿굿', 4), ('그릭', 4), ('그릭 요거트 맛있다', 4), ('넓다', 4), ('들다', 4), ('많이', 4), ('맛있다  먹다', 4), ('매일', 4), ('분위기', 4), ('비다', 4), ('생각 보다', 4), ('안되다', 4), ('양은', 4), ('양은 적다', 4), ('없다 그렇다', 4), ('연어', 4), ('연어 샌드위치', 4)]"
MA010120220801049024,삼청빙수,"[('', 1234), ('빙수', 122), ('맛있다', 105), ('좋다', 47), ('대체', 44), ('리뷰', 44), ('너무', 41), ('먹다', 40), ('맛', 34), ('많다', 27), ('다', 25), ('팥', 25), ('그릇', 23), ('곳', 21), ('우유', 21), ('얼음', 20), ('불친절하다', 18), ('없다', 18), ('많이', 17), ('보다', 17), ('사람', 17), ('작다', 17), ('팥빙수', 17), ('가다', 16), ('아니다', 16), ('웨이', 16), ('그렇다', 15), ('딸기', 15), ('먹기', 15), ('알다', 15), ('테이블', 15), ('그냥', 14), ('가격', 13), ('않다', 13), ('팅', 13), ('바쁘다', 12), ('손님', 12), ('인', 12), ('직원', 12), ('추가', 12), ('맛집', 11), ('비싸다', 11), ('요', 10), ('흘리다', 10), ('1', 9), ('고', 9), ('닦다', 9), ('달다', 9), ('분', 9), ('비', 9)]","[('맛있다', 32), ('좋다', 23), ('대체', 22), ('대체 리뷰', 22), ('리뷰', 22), ('빙수', 22), ('', 19), ('너무', 12), ('먹다', 8), ('많다', 7), ('맛있는 빙수', 7), ('맛있다 ', 7), ('팥', 7), ('맛', 6), ('그릇', 5), ('그렇다', 4), ('너무 맛있다', 4), ('많이', 4), ('불친절하다', 4), ('사람', 4), ('사람 많다', 4), ('없다', 4), ('작다', 4), ('가격', 3), ('가다', 3), ('곳', 3), ('그냥', 3), ('그릇 작다', 3), ('맛집', 3), ('먹기', 3), ('빙수 맛집', 3), ('아니다', 3), ('알다', 3), ('양', 3), ('얼음', 3), ('오다', 3), ('웨이팅', 3), ('추가', 3), ('테이블', 3), ('팥빙수', 3), ('화장실', 3), ('너무 작다', 2), ('들어가다', 2), ('디저트', 2), ('딸기 빙수', 2), ('맛 요', 2), ('맛 좋다', 2), ('무난하다', 2), ('바쁘다', 2), ('분위기', 2)]"
MA010120220805148419,모자이크 베이커리 북촌점,"[('', 2677), ('맛있다', 209), ('빵', 178), ('좋다', 143), ('너무', 100), ('먹다', 73), ('예쁘다', 69), ('다', 68), ('커피', 62), ('한', 61), ('카페', 54), ('옥', 50), ('오다', 49), ('친절하다', 47), ('공간', 42), ('맛', 41), ('베이커리', 38), ('소금', 36), ('가다', 35), ('보다', 35), ('북촌', 34), ('많다', 30), ('분위기', 30), ('치아바타', 30), ('야외', 29), ('인테리어', 29), ('종류', 29), ('진짜', 27), ('고', 26), ('들어가다', 26), ('음료', 26), ('깜빠뉴', 24), ('이르다', 24), ('곳', 22), ('요', 22), ('이랑', 22), ('느낌', 21), ('랑', 21), ('샌드위치', 21), ('멋지다', 20), ('빵집', 20), ('정말', 20), ('직원', 20), ('레몬', 19), ('만', 19), ('비싸다', 19), ('케이크', 19), ('기분', 18), ('맛집', 18), ('매장', 18)]","[('맛있다', 41), ('좋다', 38), ('', 37), ('빵', 29), ('너무', 23), ('예쁘다', 17), ('커피', 14), ('한옥', 13), ('먹다', 12), ('가다', 11), ('분위기', 11), ('소금빵', 11), ('너무 맛있다', 10), ('친절하다', 10), ('많다', 9), ('오다', 9), ('인테리어', 9), ('깜빠뉴', 8), ('맛', 8), ('진짜', 8), ('카페', 8), ('맛있는 커피', 7), ('맛있다 ', 7), ('빵 맛있다', 7), ('음료', 7), ('공간', 6), ('너무 좋다', 6), ('대체', 6), ('대체 리뷰', 6), ('들어가다', 6), ('리뷰', 6), ('분위기 좋다', 6), ('치아바타', 6), ('느낌', 5), ('디저트', 5), ('북촌', 5), ('비싸다', 5), ('싶다', 5), ('인테리어 너무', 5), ('종류', 5), ('가격', 4), ('가을', 4), ('기분', 4), ('너무 예쁘다', 4), ('덥다', 4), ('매장', 4), ('베이커리', 4), ('보다', 4), ('빵 이랑', 4), ('빵집', 4)]"
MA010120220814042518,핑크래빗가든,"[('', 2091), ('맛있다', 151), ('좋다', 95), ('샐러드', 90), ('먹다', 72), ('프레첼', 61), ('예쁘다', 57), ('신선하다', 54), ('너무', 50), ('대체', 34), ('리뷰', 34), ('매장', 34), ('프레즐', 33), ('재료', 30), ('카페', 30), ('다', 29), ('맛집', 27), ('크다', 27), ('곳', 24), ('분위기', 23), ('메뉴', 22), ('커피', 22), ('샌드위치', 21), ('소스', 21), ('인테리어', 21), ('친절하다', 21), ('핑크', 21), ('시나몬', 20), ('한', 19), ('꽁치', 18), ('넓다', 18), ('램', 18), ('보다', 18), ('음식', 18), ('인', 18), ('주문', 18), ('차우더', 18), ('토', 18), ('포장', 18), ('맛', 16), ('고', 15), ('공간', 15), ('니', 15), ('들어가다', 15), ('방문', 15), ('완전', 15), ('치즈', 15), ('크림', 15), ('깔끔하다', 14), ('딸기', 14)]","[('맛있다', 39), ('좋다', 34), ('', 27), ('대체', 17), ('대체 리뷰', 17), ('리뷰', 17), ('신선하다', 14), ('예쁘다', 14), ('먹다', 13), ('너무', 12), ('샐러드', 12), ('매장', 10), ('프레첼', 9), ('분위기', 7), ('친절하다', 7), ('깔끔하다', 6), ('넓다', 6), ('분위기 좋다', 6), ('카페', 6), ('커피', 6), ('브런치', 5), ('정말', 5), ('프레즐', 5), ('가게', 4), ('너무 맛있다', 4), ('맛있는 샐러드', 4), ('메뉴', 4), ('소스', 4), ('예쁜 인테리어', 4), ('완전', 4), ('음식', 4), ('인테리어', 4), ('재료', 4), ('최고', 4), ('   ', 3), ('고소하다', 3), ('곳 인데', 3), ('공간', 3), ('괜찮다', 3), ('드레싱', 3), ('많다', 3), ('맛있다 다', 3), ('매장 넓다', 3), ('북촌 맛집', 3), ('샌드위치', 3), ('샐러드 재료', 3), ('시나몬', 3), ('음료', 3), ('음식 맛있다', 3), ('재료         신선한 재료', 3)]"
MA0101202212A0020676,갓잇 안국점,"[('', 1798), ('맛있다', 146), ('먹다', 129), ('너무', 59), ('좋다', 57), ('타코', 52), ('다', 50), ('친절하다', 49), ('웨이', 47), ('팅', 47), ('직원', 39), ('세트', 38), ('음식', 35), ('가다', 33), ('대체', 32), ('리뷰', 32), ('않다', 32), ('분들', 30), ('많다', 28), ('방문', 26), ('인', 26), ('또띠아', 25), ('양도', 23), ('맛', 22), ('기다리다', 21), ('2', 20), ('분', 20), ('파히타', 20), ('최고', 19), ('갓', 18), ('배부르다', 18), ('이르다', 18), ('매장', 16), ('다양하다', 15), ('되다', 15), ('리필', 15), ('만', 15), ('서다', 15), ('추가', 15), ('평일', 15), ('보다', 14), ('자리', 14), ('푸다', 13), ('4', 12), ('가격', 12), ('가능하다', 12), ('개', 12), ('고수', 12), ('대기', 12), ('명', 12)]","[('맛있다', 42), ('', 29), ('먹다', 24), ('좋다', 19), ('대체', 16), ('대체 리뷰', 16), ('리뷰', 16), ('타코', 14), ('웨이팅', 12), ('친절하다', 11), ('너무', 10), ('맛있다 ', 9), ('음식', 9), ('가다', 8), ('너무 맛있다', 8), ('많다', 8), ('양도', 8), ('배부르다', 7), ('  세트', 6), ('기다리다', 6), ('맛있다  먹다', 6), ('세트', 6), ('다양하다', 5), ('또띠아', 5), ('않다', 5), ('직원분들', 5), ('파히타', 5), ('갓잇', 4), ('맛', 4), ('매장', 4), ('배부르다 먹다', 4), ('좁다', 4), ('최고', 4), ('친절한 직원분들', 4), ('평일', 4), ('2 인', 3), ('  세트 먹다', 3), ('가격', 3), ('가능하다', 3), ('가성비', 3), ('먹다 맛있다', 3), ('방문', 3), ('분위기', 3), ('사람', 3), ('양도 많다', 3), ('유명하다', 3), ('음식 맛있다', 3), ('자리', 3), ('재방문의사', 3), ('정말', 3)]"
