상가업소번호,가게명,keyword30_1,keyword30_2
2223,누데이크 성수점,"[('', 3516), ('맛있다', 199), ('맛', 167), ('케이크', 166), ('먹다', 148), ('디저트', 144), ('좋다', 138), ('다', 81), ('크림', 78), ('버거', 73), ('많다', 67), ('피크', 62), ('보다', 61), ('빵', 61), ('녹차', 57), ('방문', 50), ('분위기', 49), ('적', 47), ('가격', 46), ('크다', 44), ('특이하다', 44), ('커피', 41), ('없다', 40), ('독특하다', 38), ('요', 38), ('아니다', 37), ('않다', 37), ('공간', 36), ('인테리어', 36), ('가다', 35), ('사람', 35), ('한번', 34), ('곳', 32), ('고', 30), ('웨이', 30), ('느낌', 29), ('비싸다', 29), ('성수', 29), ('오다', 29), ('직원', 29), ('생각', 28), ('쯤', 28), ('친절하다', 28), ('만', 27), ('점', 27), ('팅', 27), ('주문', 26), ('카페', 26), ('그냥', 25), ('예쁘다', 25)]","[('', 106), ('맛있다', 57), ('좋다', 46), ('디저트', 33), ('케이크', 30), ('맛', 24), ('많다', 22), ('먹다', 19), ('굿굿굿', 15), ('분위기', 14), ('독특하다', 13), ('특이하다', 13), ('인테리어', 12), ('가격', 11), ('사람', 11), ('아니다', 11), ('없다', 11), ('커피', 11), ('느낌', 10), ('비싸다', 10), ('친절하다', 10), ('방문', 9), ('빵', 9), ('직원', 9), ('크림', 9), ('한번 쯤', 9), ('그냥', 8), ('별로', 8), ('신기하다', 8), ('예쁘다', 8), ('피크 케이크', 8), ('가다', 7), ('들어가다', 7), ('먹다 보다', 7), ('버거', 7), ('사람 많다', 7), ('생기다', 7), ('누데 이크', 6), ('버거 케이크', 6), ('새롭다', 6), ('엄청', 6), ('예약', 6), ('웨이 팅', 6), ('정도', 6), ('힙하다', 6), ('공간', 5), ('굉장하다', 5), ('그렇다', 5), ('나다', 5), ('디저트 많다', 5)]"
MA010120220812852251,노모어피자 서울숲점,"[('', 3075), ('피자', 392), ('맛있다', 349), ('먹다', 265), ('좋다', 132), ('파스타', 90), ('치즈', 85), ('맛', 81), ('다', 68), ('맛집', 60), ('보다', 56), ('토핑', 56), ('오다', 54), ('도우', 53), ('옥수수', 51), ('메뉴', 47), ('방문', 45), ('많다', 44), ('랑', 42), ('가다', 41), ('반', 36), ('집', 36), ('하프', 33), ('서울숲', 32), ('친절하다', 31), ('주문', 29), ('지다', 29), ('새우', 28), ('않다', 28), ('곳', 27), ('노모', 27), ('아니다', 27), ('추천', 27), ('엄청', 26), ('적', 26), ('니', 25), ('친구', 25), ('포장', 25), ('들어가다', 24), ('분위기', 24), ('완전', 24), ('그렇다', 22), ('매장', 22), ('요', 22), ('나오다', 21), ('다양하다', 21), ('서다', 21), ('양', 21), ('쫄깃', 21), ('고', 20)]","[('', 144), ('맛있다', 100), ('피자', 64), ('먹다', 47), ('좋다', 34), ('치즈', 20), ('파스타', 18), ('도우', 16), ('맛', 16), ('토핑', 15), ('많다', 13), ('가다', 12), ('친절하다', 11), ('메뉴', 10), ('맛있게 먹다', 9), ('먹다 보다', 9), ('서울숲', 9), ('맛집', 8), ('추천', 8), ('포장', 8), ('피자 먹다', 8), ('노모 피자', 7), ('다양하다', 7), ('들어가다', 7), ('맛있다 피자', 7), ('방문', 7), ('분위기', 7), ('아니다', 7), ('엄청', 7), ('완전', 7), ('친구', 7), ('피자 ', 7), ('매장', 6), ('양', 6), ('여기다', 6), ('적당하다', 6), ('주문', 6), ('직원', 6), ('쫄깃', 6), ('고소하다', 5), ('깔끔하다', 5), ('도우 쫄깃', 5), ('신선하다', 5), ('오다', 5), ('오다 보다', 5), ('페퍼로니', 5), ('피자 맛집', 5), ('가게', 4), ('가격', 4), ('가성비', 4)]"
MA010120220804819197,문츠 바베큐,"[('', 4712), ('맛있다', 294), ('먹다', 275), ('좋다', 168), ('고기', 124), ('립', 118), ('비프', 108), ('보다', 101), ('예약', 101), ('맛', 100), ('음식', 95), ('가다', 86), ('플래터', 79), ('않다', 77), ('방문', 69), ('부드럽다', 69), ('바베큐', 68), ('다', 56), ('나오다', 54), ('들다', 48), ('없다', 48), ('고', 45), ('아쉽다', 45), ('적', 45), ('메뉴', 44), ('그렇다', 43), ('오다', 43), ('직원', 43), ('많다', 41), ('가격', 40), ('매장', 39), ('요', 39), ('그냥', 38), ('생각', 36), ('니', 35), ('되다', 35), ('시', 35), ('친절하다', 34), ('게타', 33), ('느끼하다', 33), ('버섯', 33), ('번', 33), ('소스', 33), ('포르', 33), ('엄청', 31), ('만', 30), ('아니다', 30), ('에는', 30), ('200', 29), ('포크', 28)]","[('', 116), ('맛있다', 89), ('먹다', 45), ('좋다', 45), ('고기', 34), ('가다', 24), ('음식', 23), ('맛', 22), ('예약', 22), ('부드럽다', 21), ('바베큐', 16), ('않다', 16), ('비프 립', 15), ('나오다', 14), ('비프 립 플래터', 14), ('아쉽다', 12), ('친절하다', 12), ('그냥', 11), ('느끼하다', 11), ('많다', 11), ('없다', 11), ('먹다 보다', 10), ('보다', 10), ('엄청', 10), ('직원', 10), ('그렇다', 9), ('들다', 9), ('방문', 9), ('아니다', 9), ('플래터', 9), ('맛있게 먹다', 8), ('메뉴', 8), ('미리', 8), ('생각', 8), ('소스', 8), ('아주', 8), ('오다', 8), ('특별하다', 8), ('가격', 7), ('고기 부드럽다', 7), ('괜찮다', 7), ('매장', 7), ('비싸다', 7), ('싶다', 7), ('추천', 7), ('테이블', 7), ('힘들다', 7), ('느껴지다', 6), ('느끼다', 6), ('맛있는 음식', 6)]"
MA010120220811669601,포도젝트,"[('', 5288), ('좋다', 541), ('맛있다', 393), ('와인', 323), ('분위기', 284), ('음식', 209), ('먹다', 149), ('친절하다', 138), ('님', 133), ('방문', 130), ('사장', 130), ('안주', 130), ('메뉴', 116), ('이랑', 113), ('추천', 108), ('오다', 96), ('인테리어', 93), ('다', 90), ('친구', 88), ('가다', 87), ('한식', 81), ('자다', 74), ('맛', 70), ('깔끔하다', 65), ('곳', 64), ('예쁘다', 63), ('보다', 60), ('만', 56), ('모임', 55), ('어울리다', 53), ('적', 51), ('들다', 49), ('성수동', 49), ('싶다', 48), ('바', 44), ('이르다', 43), ('재', 43), ('갈다', 42), ('데이트', 41), ('말다', 41), ('포도', 39), ('한잔', 39), ('고', 38), ('요', 38), ('않다', 36), ('직원', 36), ('느낌', 35), ('보내다', 35), ('옥상', 35), ('오랜', 34)]","[('', 149), ('좋다', 115), ('맛있다', 102), ('분위기', 82), ('음식', 59), ('와인', 45), ('좋은 분위기', 44), ('친절하다', 42), ('사장님', 37), ('안주', 31), ('인테리어', 28), ('먹다', 25), ('메뉴', 25), ('오다', 24), ('가다', 22), ('맛있는 음식', 21), ('깔끔하다', 20), ('방문', 20), ('좋다 음식', 20), ('성수동', 18), ('예쁘다', 18), ('싶다', 15), ('와인 이랑', 14), ('갈다', 13), ('맛', 13), ('추천', 13), ('모임', 12), ('오랜 만', 12), ('추천하다', 12), ('친구', 12), ('친절한 사장님', 12), ('맛있다 분위기', 11), ('보내다', 11), ('않다', 11), ('완전', 11), ('직원', 11), ('데이트', 10), ('안주 맛있다', 10), ('옥상', 10), ('와인바', 10), ('재방문', 10), ('곳', 9), ('친구 이랑', 9), ('새롭다', 8), ('식사', 8), ('어울리다', 8), ('잘 어울리다', 8), ('재방문 의사', 8), ('즐겁다', 8), ('한식', 8)]"
MA010120220805652148,티룸,"[('', 1803), ('좋다', 239), ('맛있다', 101), ('선물', 98), ('티', 97), ('많다', 75), ('종류', 74), ('티백', 74), ('먹다', 61), ('다양하다', 48), ('음료', 39), ('말다', 35), ('분위기', 33), ('고르다', 30), ('재미', 30), ('다', 29), ('보다', 29), ('친구', 29), ('곳', 28), ('박스', 28), ('치즈케이크', 26), ('밀크', 25), ('이르다', 25), ('구매', 24), ('귀엽다', 23), ('메이드', 23), ('예쁘다', 23), ('오다', 23), ('친절하다', 23), ('핸드', 23), ('기능', 21), ('성', 21), ('아주', 21), ('맛', 20), ('방문', 20), ('취향', 20), ('커피', 20), ('구경', 19), ('기프트', 19), ('자주', 19), ('담', 18), ('많이', 18), ('찾아가다', 18), ('들다', 16), ('맞다', 16), ('매장', 16), ('메뉴', 16), ('부모님', 16), ('좋아하다', 16), ('모히또', 15)]","[('', 116), ('좋다', 69), ('맛있다', 36), ('많다', 25), ('선물', 21), ('종류', 20), ('티백', 20), ('다양하다', 16), ('분위기', 13), ('음료', 12), ('기능 성 티', 10), ('재미', 10), ('치즈케이크', 10), ('티', 10), ('오다', 9), ('귀엽다', 8), ('기프트 박스', 8), ('예쁘다', 8), ('친절하다', 8), ('핸드 메이드', 8), ('고르다', 7), ('구경', 7), ('구경 재미', 7), ('매장', 7), ('먹다', 7), ('밀크티', 7), ('구매', 6), ('많은 종류', 6), ('많이', 6), ('맛', 6), ('방문', 6), ('부모님', 6), ('아주', 6), ('좋아하다', 6), ('찾아가다', 6), ('친구', 6), ('티백 선물', 6), ('곳', 5), ('다양한 종류', 5), ('마시다', 5), ('맞다', 5), ('발견', 5), ('상황 맞다', 5), ('센스', 5), ('좋은 분위기', 5), ('커피', 5), ('가다', 4), ('기능 성 티 많다', 4), ('들다', 4), ('먹다 보다', 4)]"
MA010120220805413720,인치스,"[('', 3523), ('맛있다', 337), ('디저트', 265), ('좋다', 213), ('먹다', 176), ('바', 119), ('맛', 109), ('버터', 99), ('라떼', 95), ('서울숲', 95), ('커피', 92), ('스', 89), ('인치', 86), ('예쁘다', 85), ('포장', 77), ('카페', 63), ('친절하다', 60), ('선물', 56), ('달달', 55), ('방문', 54), ('다', 53), ('보다', 52), ('맛집', 50), ('가다', 47), ('랑', 47), ('분위기', 46), ('종류', 44), ('좋아하다', 44), ('오다', 40), ('싶다', 39), ('음료', 39), ('다양하다', 38), ('완전', 38), ('않다', 37), ('쿠키', 37), ('들다', 36), ('먹기', 36), ('용', 36), ('맛보다', 31), ('님', 30), ('사장', 30), ('8', 27), ('꾸다', 27), ('친구', 27), ('날', 26), ('성수동', 26), ('인테리어', 26), ('지다', 26), ('집', 26), ('매장', 25)]","[('', 113), ('맛있다', 96), ('디저트', 58), ('좋다', 56), ('먹다', 33), ('예쁘다', 25), ('서울숲', 24), ('맛', 20), ('친절하다', 20), ('버터 바', 17), ('포장', 17), ('커피', 16), ('인치 스', 14), ('다양하다', 13), ('분위기', 13), ('카페', 13), ('방문', 12), ('좋아하다', 12), ('가다', 11), ('달달', 11), ('사장님', 10), ('싶다', 10), ('않다', 10), ('완전', 10), ('맛집', 9), ('먹기', 9), ('오다', 9), ('음료', 9), ('인테리어', 9), ('맛보다', 8), ('맛있는 커피', 8), ('매장', 8), ('선물', 8), ('종류', 8), ('좋은 분위기', 8), ('친구', 8), ('쿠키 바', 8), ('갈다', 7), ('깔끔하다', 7), ('들다', 7), ('라떼', 7), ('맛있다 디저트', 7), ('성수동', 7), ('세트', 7), ('엄청', 7), ('인치 스 라떼', 7), ('재료', 7), ('꾸다 덕', 6), ('먹기 좋다', 6), ('쉐이크', 6)]"
MA010120220803146742,카멜커피 7호점,"[('', 1746), ('커피', 179), ('맛있다', 169), ('좋다', 99), ('카멜', 89), ('웨이', 54), ('팅', 51), ('맛', 48), ('분위기', 43), ('예쁘다', 40), ('인테리어', 37), ('다', 35), ('먹다', 35), ('직원', 31), ('대기', 29), ('만', 29), ('들다', 27), ('역시', 27), ('되다', 26), ('친절하다', 26), ('보다', 25), ('평일', 25), ('많다', 24), ('말다', 24), ('크로와상', 24), ('니', 23), ('않다', 23), ('시', 22), ('자리', 22), ('카페', 22), ('크림', 22), ('없다', 21), ('가다', 19), ('처', 19), ('불편하다', 17), ('유명하다', 17), ('빵', 16), ('생각', 16), ('2', 15), ('앉다', 15), ('오다', 15), ('지다', 15), ('곳', 14), ('라떼', 14), ('서비스', 14), ('오픈', 14), ('쯤', 14), ('느낌', 13), ('사람', 13), ('요', 13)]","[('', 70), ('맛있다', 56), ('좋다', 34), ('커피', 31), ('카멜 커피', 22), ('맛있는 커피', 14), ('분위기', 14), ('예쁘다', 14), ('인테리어', 14), ('역시', 10), ('맛', 9), ('좋은 분위기', 9), ('친절하다', 9), ('카멜', 9), ('굿굿굿', 8), ('대기', 8), ('많다', 8), ('먹다', 8), ('없다', 8), ('웨이팅', 8), ('않다', 7), ('직원', 7), ('크로와상', 7), ('가다', 6), ('시그니처', 6), ('유명하다', 6), ('자리', 6), ('좋다 커피', 6), ('카멜 맛있는 커피', 6), ('커피 맛', 6), ('들다', 5), ('불편하다', 5), ('사람', 5), ('생각 보다', 5), ('웨이 팅', 5), ('카페', 5), ('평일', 5), ('기다리다', 4), ('넓다', 4), ('느낌', 4), ('되다', 4), ('앉다', 4), ('오다', 4), ('커피 ', 4), ('2 층', 3), ('가보다', 3), ('고소하다', 3), ('공간', 3), ('길다', 3), ('다녀오다', 3)]"
MA010120220812264577,보마켓 서울숲점,"[('', 1211), ('좋다', 111), ('맛있다', 93), ('구경', 37), ('예쁘다', 37), ('먹다', 36), ('많다', 33), ('직원', 30), ('떡볶이', 27), ('음식', 26), ('요', 19), ('보다', 18), ('식사', 18), ('다', 17), ('마켓', 17), ('친절하다', 17), ('곳', 16), ('샌드위치', 16), ('가능하다', 15), ('굿굿굿', 15), ('들다', 15), ('매장', 15), ('분위기', 13), ('맛', 12), ('메뉴', 12), ('서울숲', 12), ('소품', 12), ('주차', 12), ('김치볶음밥', 11), ('보', 11), ('오늘', 11), ('자주', 11), ('재미', 11), ('적', 11), ('아기자기하다', 10), ('커피', 10), ('가끔', 9), ('깔끔하다', 9), ('동반', 9), ('받다', 9), ('방문', 9), ('베이컨', 9), ('빼다', 9), ('산책', 9), ('올리브', 9), ('와인', 9), ('음료', 9), ('이랑', 9), ('절임', 9), ('제품', 9)]","[('', 43), ('맛있다', 38), ('좋다', 34), ('굿굿굿', 15), ('많다', 12), ('구경', 11), ('예쁘다', 11), ('떡볶이', 8), ('음식', 8), ('친절하다', 7), ('식사', 6), ('직원', 6), ('매장', 5), ('먹다', 5), ('서울숲', 5), ('구경 재미', 4), ('김치볶음밥', 4), ('들다', 4), ('맛있는 음식', 4), ('보 마켓', 4), ('분위기', 4), ('아기자기하다', 4), ('가능하다', 3), ('곳', 3), ('깔끔하다', 3), ('다양하다', 3), ('동반 가능하다', 3), ('되다', 3), ('먹다 보다', 3), ('메뉴', 3), ('방문', 3), ('소품', 3), ('올리브 절임', 3), ('음료', 3), ('자주', 3), ('재미', 3), ('좋은 분위기', 3), ('처음', 3), ('친절한 직원', 3), ('편하다', 3), (' 전체적', 2), ('가깝다', 2), ('가다', 2), ('가방', 2), ('가볍다', 2), ('간단하다', 2), ('강아지', 2), ('괜찮다', 2), ('구매', 2), ('구입', 2)]"
MA010120220809901665,시즈니,"[('', 2825), ('맛있다', 278), ('좋다', 147), ('먹다', 143), ('케이크', 102), ('자몽', 94), ('카페', 88), ('이드', 79), ('다', 76), ('오다', 76), ('님', 75), ('사장', 75), ('보다', 69), ('커피', 69), ('치즈케이크', 68), ('친절하다', 64), ('티', 61), ('깔끔하다', 56), ('예쁘다', 56), ('밀크', 55), ('바스크', 55), ('랑', 52), ('음료', 49), ('분위기', 47), ('디저트', 45), ('니', 43), ('바닐라', 41), ('맛', 40), ('시', 40), ('인테리어', 35), ('맛집', 34), ('가다', 33), ('빈', 33), ('빙수', 33), ('치즈', 33), ('들다', 30), ('만들다', 30), ('자주', 30), ('매장', 29), ('엄청', 29), ('생기', 26), ('조용하다', 26), ('포장', 26), ('요', 24), ('라떼', 23), ('메뉴', 23), ('방문', 23), ('초코', 23), ('즈', 22), ('들어가다', 21)]","[('', 102), ('맛있다', 75), ('좋다', 42), ('사장님', 24), ('오다', 22), ('카페', 22), ('먹다', 20), ('친절하다', 20), ('자몽 이드', 19), ('깔끔하다', 18), ('커피', 17), ('치즈케이크', 16), ('분위기', 15), ('케이크', 15), ('예쁘다', 14), ('디저트', 13), ('인테리어', 13), ('밀크티', 12), ('매장', 11), ('음료', 11), ('가다', 10), ('먹다 보다', 9), ('자주', 9), ('조용하다', 9), ('친절한 사장님', 9), ('만들다', 8), ('맛있는 커피', 8), ('맛집', 8), ('바스크', 8), ('엄청', 8), ('들어가다', 7), ('마들렌', 7), ('생기다', 7), ('않다', 7), ('메뉴', 6), ('보다', 6), ('빙수', 6), ('사진', 6), ('새롭게 생기다', 6), ('새롭다', 6), ('서울숲', 6), ('시 즈 니', 6), ('치즈 케이크', 6), ('나오다', 5), ('대화', 5), ('맛', 5), ('맛있는 디저트', 5), ('맛있는 음료', 5), ('매장 깔끔하다', 5), ('성수동', 5)]"
MA010120220812712456,동빙고 성수점,"[('', 1453), ('빙수', 183), ('맛있다', 138), ('좋다', 80), ('먹다', 61), ('팥', 57), ('다', 47), ('않다', 35), ('1', 34), ('달다', 29), ('파이', 29), ('많다', 28), ('팥빙수', 28), ('맛집', 27), ('맛', 26), ('동빙고', 25), ('우유', 24), ('달', 23), ('많이', 23), ('지다', 23), ('곳', 21), ('먹기', 21), ('가다', 20), ('매장', 20), ('아니다', 19), ('얼음', 19), ('요', 19), ('인', 18), ('없다', 16), ('들어가다', 15), ('떡', 15), ('생기', 15), ('에도', 15), ('깔끔하다', 14), ('랑', 14), ('만', 14), ('방문', 14), ('별로', 14), ('본점', 14), ('불편하다', 14), ('사람', 14), ('시원하다', 14), ('역시', 14), ('들다', 13), ('밀크', 13), ('보다', 13), ('유명하다', 13), ('티', 13), ('가격', 12), ('고', 12)]","[('', 61), ('맛있다', 52), ('빙수', 25), ('좋다', 25), ('팥', 17), ('팥빙수', 11), ('굿굿굿', 10), ('먹다', 10), ('달다', 8), ('동빙고', 8), ('많이', 8), ('가다', 7), ('달 지 않다', 7), ('많다', 6), ('매장', 6), ('아니다', 6), ('않다', 6), ('맛', 5), ('불편하다', 5), ('빙수 맛있다', 5), ('사람', 5), ('생기다', 5), ('없다', 5), ('가격', 4), ('깔끔하다', 4), ('나오다', 4), ('녹차 빙수', 4), ('들다', 4), ('딸기 빙수', 4), ('떡', 4), ('맛집', 4), ('먹기', 4), ('별로', 4), ('빙수 맛집', 4), ('시원하다', 4), ('자리', 4), ('좋아하다', 4), ('1 인', 3), ('곳', 3), ('괜찮다', 3), ('기대', 3), ('녹다', 3), ('느낌', 3), ('달 지 않다 맛있다', 3), ('동빙고 생기다', 3), ('들어가다', 3), ('디저트', 3), ('매우', 3), ('먹기 좋다', 3), ('먹다 맛있다', 3)]"
