상가업소번호,가게명,업종,점수,리뷰증가율,재방문,좋아요,찜,주소,행정동,위도,경도,긍정 리뷰 비율,리뷰수
MA010120220800304264,깡통만두,한식,4.3,0.25,0.0,740,9926,서울특별시 종로구 북촌로2길 5-6,가회동,37.578157,126.986096,90.0,10
1100,소금집델리안국점,카페,4.4,-0.23,15.65,108,3847,서울특별시 종로구 북촌로4길 19,가회동,37.579457,126.986231,96.6,148
MA010120220802904538,다운타우너안국점,패스트푸드,4.4,-0.4,0.0,65,1617,서울특별시 종로구 북촌로 6-4,가회동,37.577468,126.986372,100.0,6
MA010120220812732824,랜디스도넛안국점,카페,4.0,0.5,0.0,8,149,서울특별시 종로구 북촌로 3,가회동,37.577133,126.985592,100.0,12
MA010120220800002167,경춘자의라면땡기는날,한식,4.0,-0.15,23.81,353,3320,서울특별시 종로구 율곡로3길 82,삼청동,37.579304,126.982272,93.3,105
MA010120220800036098,레이어드안국점,카페,3.8,0.2,0.0,206,3286,서울특별시 종로구 북촌로2길 2-3,가회동,37.577736,126.985928,100.0,6
MA010120220808699965,반타이,동남아시아,4.2,-0.37,8.33,38,1923,서울특별시 종로구 율곡로 65,가회동,37.577234,126.986454,100.0,24
MA010120220807404834,안암,한식,4.2,-0.26,8.64,7,646,서울특별시 종로구 북촌로5길 10,가회동,37.57944,126.984428,96.3,81
MA010120220807099433,부영도가니탕,한식,4.7,0.18,10.0,51,0,서울특별시 종로구 북촌로 141,삼청동,37.587206,126.982682,97.5,40
MA010120220809894482,북촌도담,한식,4.1,0.5,0.0,28,390,서울특별시 종로구 북촌로1길 9,삼청동,37.577344,126.985278,100.0,6
MA010120220809608034,카페노티드안국점,카페,3.8,-0.25,0.0,26,394,서울특별시 종로구 북촌로 6-3,가회동,37.577409,126.986009,100.0,3
MA010120220800033800,북촌김치재,한식,4.0,-0.29,4.49,33,422,서울특별시 종로구 북촌로2길 8,가회동,37.577816,126.986181,97.8,89
