상가업소번호,가게명,업종,점수,리뷰증가율,재방문,좋아요,찜,주소,행정동,위도,경도,긍정 리뷰 비율
MA010120220804394996,소문난성수감자탕,한식,4.0,-0.14,0.0,478,3749,서울특별시 성동구 연무장길 45,성수2가제3동,37.542889,127.054411,83.3
MA010120220808259480,로우커피스탠드,카페,4.6,0.27,39.29,32,2914,서울특별시 성동구 왕십리로4길 28-2,성수1가제2동,37.547122,127.046614,0.0
MA010120220811668650,온량,서양식,4.6,1.0,0.0,134,0,서울특별시 성동구 서울숲4길 26-10,성수1가제2동,37.546944,127.043436,100.0
MA010120220810441160,서울숲누룽지통닭구이,패스트푸드,4.3,-0.29,16.67,105,0,서울특별시 성동구 왕십리로5길 10,성수1가제2동,37.546972,127.044421,95.0
MA010120220803352489,버섯집,한식,4.2,-0.27,11.43,119,1829,서울특별시 성동구 왕십리로5길 9-10,성수1가제2동,37.546713,127.044067,97.1
MA010120220811228790,밀본 본점,한식,4.0,-0.23,0.0,138,0,서울특별시 성동구 아차산로 67-16,성수2가제3동,37.546472,127.051414,82.4
MA010120220810388895,봄의정원성수점,서양식,4.4,0.0,0.0,40,0,서울특별시 성동구 연무장길 81,성수2가제3동,37.541697,127.058248,0.0
MA010120220803176991,쵸리상경,한식,4.3,-0.67,0.0,24,1925,서울특별시 성동구 서울숲4길 18-8,성수1가제2동,37.547051,127.042674,100.0
MA010120220808592418,어니언성수점,카페,3.9,1.0,0.0,473,3995,서울특별시 성동구 아차산로9길 8,성수2가제3동,37.544746,127.058381,100.0
MA010120220808737660,누메로도스,서양식,4.4,-0.2,9.23,114,4710,서울특별시 성동구 상원1길 35-9,성수1가제2동,37.546381,127.047343,100.0
MA0101202302A0106902,뚝도농원,한식,4.2,-0.1,4.71,40,708,서울특별시 성동구 아차산로 82,성수2가제3동,37.545104,127.053162,97.7
MA010120220813231777,시옹마오,중식,4.6,-0.05,15.38,28,633,서울특별시 성동구 연무장7길 7-1,성수2가제3동,37.543469,127.05445,97.6
MA010120220803773796,팜티진쌀국수,동남아시아,4.4,-0.34,26.0,121,3273,서울특별시 성동구 왕십리로 58,성수1가제1동,37.542695,127.045205,98.0
MA010120220812861269,프롤라,카페,4.4,-0.06,18.0,21,1389,서울특별시 성동구 연무장17길 5,성수2가제3동,37.541258,127.060944,100.0
MA010120220803266109,소바마에,일식,4.4,-0.14,6.67,9,269,서울특별시 성동구 왕십리로4길 26-20,성수1가제2동,37.546814,127.04701,96.9
MA010120220808125743,솔솥성수점,한식,4.3,0.0,0.0,7,0,서울특별시 성동구 연무장5가길 24,성수2가제3동,37.543191,127.055305,100.0
MA010120220807056132,서울로인서울숲점,한식,4.6,0.0,0.0,6,0,서울특별시 성동구 서울숲2길 32-14,성수1가제1동,37.54592,127.041991,0.0
MA010120220810103049,밸런스포케 서울숲점,서양식,4.7,0.07,20.51,4,91,서울특별시 성동구 서울숲4길 28,성수1가제2동,37.54695,127.04384,98.3
MA010120220803025584,테니,카페,4.2,-0.14,8.78,7,0,서울특별시 성동구 뚝섬로17가길 55,성수2가제1동,37.541097,127.059193,94.9
MA010120220800583433,리틀포레스트,패스트푸드,4.5,-0.04,4.65,17,0,서울특별시 성동구 성수일로12길 23,성수2가제3동,37.548307,127.053713,95.5
MA010120220812216822,이오로비스트로,일식,4.2,-0.12,2.34,35,0,서울특별시 성동구 연무장5길 18,성수2가제3동,37.544589,127.053185,98.8
MA010120220807949349,꿉당 성수점,한식,4.2,-0.22,18.35,29,672,서울특별시 성동구 성수이로20길 10,성수2가제3동,37.543226,127.05764,100.0
MA010120220808061997,플레이버타운,동남아시아,4.1,0.06,16.22,45,507,서울특별시 성동구 서울숲4길 18-7,성수1가제2동,37.546993,127.04293,94.1
MA010120220803387190,녹마이,동남아시아,4.3,0.42,29.63,31,1098,서울특별시 성동구 왕십리로14길 18,성수1가제2동,37.548624,127.045595,100.0
MA010120220813644918,카페 차 성수점,카페,4.0,-0.57,0.0,24,767,서울특별시 성동구 서울숲6길 2,성수1가제2동,37.547877,127.041856,100.0
