상가업소번호,가게명,키워드,갯수
MA010120220804895059,히우카우,나요 쌀알,1
MA010120220804895059,히우카우,커리,1
MA010120220804895059,히우카우,차다 없이,1
MA010120220804895059,히우카우,차다,1
MA010120220804895059,히우카우,없이 고슬고슬하다,1
MA010120220804895059,히우카우,쌀알차다 없이,1
MA010120220804895059,히우카우,쌀알,1
MA010120220804895059,히우카우,뭔가 과일향,1
MA010120220804895059,히우카우,많이 들다,1
MA010120220804895059,히우카우,들다 뭔가,1
MA010120220804895059,히우카우,닭고기 닭고기 많이,1
MA010120220804895059,히우카우,닭고기,1
MA010120220804895059,히우카우,그린 커리 닭고기,1
MA010120220804895059,히우카우,그린 커리,1
MA010120220804895059,히우카우,그린,1
MA010120220804895059,히우카우,과일향 나요,1
MA010120220804895059,히우카우,과일향,1
MA010120220804895059,히우카우,고슬고슬하다,1
MA010120220803061265,히마진,가격 대,2
MA010120220803061265,히마진,무난하다,1
MA010120220803061265,히마진,모르다 술,1
MA010120220803061265,히마진,먹다 볼 먹다 볼,1
MA010120220803061265,히마진,먹다 나다,1
MA010120220803061265,히마진,맛보다 아주,1
MA010120220803061265,히마진,만족,1
MA010120220803061265,히마진,달지 않다,1
MA010120220803061265,히마진,달지,1
MA010120220803061265,히마진,나다 걸,1
MA010120220803061265,히마진,기간 이라 기간 이라,1
MA010120220803061265,히마진,그렇게 달지,1
MA010120220803061265,히마진,걸 먹다 볼,1
MA010120220803061265,히마진,가다 오픈 기간 이라,1
MA010120220803061265,히마진,가다 오픈,1
MA010120220803061265,히마진,가격 대 무난하다 한,1
MA010120220803061265,히마진,가격 대 가다 오픈,1
MA010120220803061265,히마진,가격,1
MA010120220803061265,히마진,무난하다 한,1
MA010120220803061265,히마진,무난하다 한 술집 무한리필,1
MA010120220812366544,희 사블레,사블레,10
MA010120220812366544,희 사블레,맛,7
MA010120220812366544,희 사블레,귀엽다,5
MA010120220812366544,희 사블레,맛있다,5
MA010120220812366544,희 사블레,사장님,5
MA010120220812366544,희 사블레,바닐라,4
MA010120220812366544,희 사블레,버터,4
MA010120220812366544,희 사블레,사다,4
MA010120220812366544,희 사블레,인테리어,4
MA010120220812366544,희 사블레,포장,4
MA010120220812366544,희 사블레,코코넛,4
MA010120220812366544,희 사블레,치즈,4
MA010120220812366544,희 사블레,초코,4
MA010120220812366544,희 사블레,행복하다,3
MA010120220812366544,희 사블레,친절하다,3
MA010120220812366544,희 사블레,디저트,3
MA010120220812366544,희 사블레,녹다,2
MA010120220812366544,희 사블레,다양하다,2
MA010120220812366544,희 사블레,다크,2
MA010120220812366544,희 사블레,번창,2
MA010120220808028883,휴카페,종류 많다,1
MA010120220808028883,휴카페,종류,1
MA010120220808028883,휴카페,아늑하다 좋다,1
MA010120220808028883,휴카페,아늑하다,1
MA010120220808028883,휴카페,사장님 불친절하다,1
MA010120220808028883,휴카페,사장님,1
MA010120220808028883,휴카페,불친절하다,1
MA010120220808028883,휴카페,보드게임 종류,1
MA010120220808028883,휴카페,보드게임,1
MA010120220808028883,휴카페,많다 아늑하다,1
MA010120220800588797,훼드라,해장 라면 해장 라면 먹다,1
MA010120220800588797,훼드라,해장 라면 집,1
MA010120220800588797,훼드라,해장,1
MA010120220800588797,훼드라,한잔 더하다 해장 라면 집,1
MA010120220800588797,훼드라,한잔 더하다,1
MA010120220800588797,훼드라,한잔,1
MA010120220800588797,훼드라,집,1
MA010120220800588797,훼드라,술 말다 해장 라면,1
MA010120220800588797,훼드라,술 말다,1
MA010120220800588797,훼드라,술,1
MA010120220800588797,훼드라,먹다 한잔 더하다,1
MA010120220800588797,훼드라,라면,1
MA010120220800588797,훼드라,더하다,1
1112,후스테이블,피자,12
1112,후스테이블,맛,9
1112,후스테이블,맛집,7
1112,후스테이블,음식,6
1112,후스테이블,가격,6
1112,후스테이블,맛있다,5
1112,후스테이블,주문,5
1112,후스테이블,근처,4
1112,후스테이블,인테리어,4
1112,후스테이블,적당하다,4
1112,후스테이블,집,4
1112,후스테이블,파스타,4
1112,후스테이블,맵다,3
1112,후스테이블,식사,3
1112,후스테이블,작다,3
1112,후스테이블,크림,3
1112,후스테이블,편이,3
1112,후스테이블,강하다,2
1112,후스테이블,가성비,2
1112,후스테이블,가볍다,2
MA010120220812334008,효동각 본점,짜장면,6
MA010120220812334008,효동각 본점,곱,4
MA010120220812334008,효동각 본점,맛있다,4
MA010120220812334008,효동각 본점,배기,4
MA010120220812334008,효동각 본점,재료,3
MA010120220812334008,효동각 본점,곱 배기,3
MA010120220812334008,효동각 본점,맛,3
MA010120220812334008,효동각 본점,고기,3
MA010120220812334008,효동각 본점,맛집,2
MA010120220812334008,효동각 본점,단맛,2
MA010120220812334008,효동각 본점,느끼하지 않다,2
MA010120220812334008,효동각 본점,느끼하지,2
MA010120220812334008,효동각 본점,느끼하다,2
MA010120220812334008,효동각 본점,버섯,2
MA010120220812334008,효동각 본점,자장면,2
MA010120220812334008,효동각 본점,짜장,2
MA010120220812334008,효동각 본점,집,2
MA010120220812334008,효동각 본점,오랫 만,2
MA010120220812334008,효동각 본점,오랫,2
MA010120220812334008,효동각 본점,여전하다,2
MA010120220806666078,회화나무,뷰,34
MA010120220806666078,회화나무,커피,30
MA010120220806666078,회화나무,창덕궁,22
