상가업소번호,가게명,키워드,갯수
1100,소금집델리 안국,감자튀김,11
1100,소금집델리 안국,기다리다,10
1100,소금집델리 안국,대기,11
1100,소금집델리 안국,루벤,24
1100,소금집델리 안국,맛,35
1100,소금집델리 안국,맛있다,84
1100,소금집델리 안국,맛집,18
1100,소금집델리 안국,매장,15
1100,소금집델리 안국,맥주,17
1100,소금집델리 안국,바게트,14
1100,소금집델리 안국,방문,14
1100,소금집델리 안국,버터,21
1100,소금집델리 안국,샌드위치,38
1100,소금집델리 안국,소금집,18
1100,소금집델리 안국,와인,11
1100,소금집델리 안국,웨이팅,34
1100,소금집델리 안국,잠봉뵈르,121
1100,소금집델리 안국,주문,14
1100,소금집델리 안국,짜다,12
1100,소금집델리 안국,평일,15
1100,소금집델리 안국,포장,35
1100,소금집델리 안국,피클,14
1100,소금집델리 안국,햄,12
1100,소금집델리안국점,기다리다,2
1100,소금집델리안국점,맛있다,1
1100,소금집델리안국점,맛집,1
1100,소금집델리안국점,맛집 기다리다,1
1100,소금집델리안국점,맛집 기다리다 싫다,1
1100,소금집델리안국점,싫다,2
1100,소금집델리안국점,싫다 포장 함 맛있다,1
1100,소금집델리안국점,웨이팅,2
1100,소금집델리안국점,웨이팅 유명,1
1100,소금집델리안국점,유명,2
1100,소금집델리안국점,유명 유명 맛집 기다리다,1
1100,소금집델리안국점,포장,1
1100,소금집델리안국점,포장 함 맛있는 잘 먹다,1
1100,소금집델리안국점,포장 함 맛있다,1
1101,개성철렵 & 루프탑 나위,개성,13
1101,개성철렵 & 루프탑 나위,개성 철렵국,5
1101,개성철렵 & 루프탑 나위,개성식,3
1101,개성철렵 & 루프탑 나위,건강하다,8
1101,개성철렵 & 루프탑 나위,고수,10
1101,개성철렵 & 루프탑 나위,고수 무치다,4
1101,개성철렵 & 루프탑 나위,국물,14
1101,개성철렵 & 루프탑 나위,기분,12
1101,개성철렵 & 루프탑 나위,깊다,10
1101,개성철렵 & 루프탑 나위,깔끔하다,18
1101,개성철렵 & 루프탑 나위,느낌,9
1101,개성철렵 & 루프탑 나위,룸,10
1101,개성철렵 & 루프탑 나위,맛,29
1101,개성철렵 & 루프탑 나위,맛있다,22
1101,개성철렵 & 루프탑 나위,모시고,10
1101,개성철렵 & 루프탑 나위,무치다,14
1101,개성철렵 & 루프탑 나위,방문,12
1101,개성철렵 & 루프탑 나위,부모님,14
1101,개성철렵 & 루프탑 나위,비빔밥,15
1101,개성철렵 & 루프탑 나위,사장님,10
1101,개성철렵 & 루프탑 나위,새롭다,8
1101,개성철렵 & 루프탑 나위,식사,14
1101,개성철렵 & 루프탑 나위,음식,32
1101,개성철렵 & 루프탑 나위,재료,8
1101,개성철렵 & 루프탑 나위,조용하다,8
1101,개성철렵 & 루프탑 나위,좋은 기분,6
1101,개성철렵 & 루프탑 나위,철렵국,19
1101,개성철렵 & 루프탑 나위,친절하다,23
1102,고메오드,공덕,4
1102,고메오드,기념일,4
1102,고메오드,기분,4
1102,고메오드,데이트,4
1102,고메오드,라파스타,3
1102,고메오드,런치,4
1102,고메오드,맛,3
1102,고메오드,맛있는 유부초밥,2
1102,고메오드,맛있는 음식,5
1102,고메오드,맛있다,30
1102,고메오드,맛집,7
1102,고메오드,매장,7
1102,고메오드,매장 분위기,3
1102,고메오드,면,3
1102,고메오드,방문,12
1102,고메오드,분위기,34
1102,고메오드,삼청동,4
1102,고메오드,서버,2
1102,고메오드,시그니처,4
1102,고메오드,시그니처 메뉴,2
1102,고메오드,식당,4
1102,고메오드,식사,8
1102,고메오드,예쁘다,4
1102,고메오드,오,4
1102,고메오드,유부초밥,8
1102,고메오드,음료,4
1102,고메오드,음식,24
1102,고메오드,의사,3
1102,고메오드,조용하다,6
1102,고메오드,좋은 기분,3
1102,고메오드,좋은 분위기,11
1102,고메오드,추천하다,4
1102,고메오드,친절하다,35
1102,고메오드,친절한 직원,3
1102,고메오드,카페,4
1102,고메오드,파스타,10
1102,고메오드,편하다,4
1102,고메오드,화이트,12
1103,프릳츠 원서점,강하다,8
1103,프릳츠 원서점,공간,6
1103,프릳츠 원서점,도넛,8
1103,프릳츠 원서점,라떼,10
1103,프릳츠 원서점,맛,15
1103,프릳츠 원서점,맛있는,14
1103,프릳츠 원서점,맛있는 빵,7
1103,프릳츠 원서점,맛있는 커피,13
1103,프릳츠 원서점,맛있다,51
1103,프릳츠 원서점,분위기,16
1103,프릳츠 원서점,불편하다,6
1103,프릳츠 원서점,빵,25
1103,프릳츠 원서점,산미,8
1103,프릳츠 원서점,서점,10
1103,프릳츠 원서점,쉬다,6
1103,프릳츠 원서점,스콘,6
1103,프릳츠 원서점,아쉽다,11
1103,프릳츠 원서점,야외,6
1103,프릳츠 원서점,예쁘다,7
1103,프릳츠 원서점,원두,9
1103,프릳츠 원서점,자리,24
1103,프릳츠 원서점,작다,6
1103,프릳츠 원서점,좋은 분위기,3
1103,프릳츠 원서점,주문,12
1103,프릳츠 원서점,친절하다,15
1103,프릳츠 원서점,카페,12
1103,프릳츠 원서점,커피,69
1103,프릳츠 원서점,크로와상,8
1103,프릳츠 원서점,프릳츠,22
1104,오설록티 하우스 북촌점,3층,17
1104,오설록티 하우스 북촌점,녹차,33
1104,오설록티 하우스 북촌점,녹차 퓨레,6
1104,오설록티 하우스 북촌점,느낌,13
1104,오설록티 하우스 북촌점,디저트,33
1104,오설록티 하우스 북촌점,많은 사람,7
1104,오설록티 하우스 북촌점,맛,33
1104,오설록티 하우스 북촌점,맛있는 디저트,7
1104,오설록티 하우스 북촌점,맛있다,56
1104,오설록티 하우스 북촌점,매장,17
1104,오설록티 하우스 북촌점,북촌,30
1104,오설록티 하우스 북촌점,분위기,37
1104,오설록티 하우스 북촌점,뷰,13
1104,오설록티 하우스 북촌점,예쁘다,24
1104,오설록티 하우스 북촌점,오설록,45
1104,오설록티 하우스 북촌점,음료,32
1104,오설록티 하우스 북촌점,인테리어,22
1104,오설록티 하우스 북촌점,자리,14
1104,오설록티 하우스 북촌점,종류,14
1104,오설록티 하우스 북촌점,좋은 분위기,11
1104,오설록티 하우스 북촌점,좋은 뷰,6
1104,오설록티 하우스 북촌점,차,26
1104,오설록티 하우스 북촌점,친절하다,26
