행정동,업종,키워드,rank
신촌동,한식,맛있는,1
신촌동,한식,친절한,2
신촌동,한식,고기,3
신촌동,한식,맛집,4
신촌동,한식,가성비,5
신촌동,한식,가성비 좋은,6
신촌동,한식,밥,7
신촌동,한식,깔끔한,8
신촌동,한식,삼겹살,9
신촌동,한식,볶음밥,10
신촌동,패스트푸드,맛있는,1
신촌동,패스트푸드,친절한,2
신촌동,패스트푸드,치킨,3
신촌동,패스트푸드,피자,4
신촌동,패스트푸드,포장,5
신촌동,패스트푸드,감자튀김,6
신촌동,패스트푸드,깔끔한,7
신촌동,패스트푸드,가성비 좋은,8
신촌동,패스트푸드,가성비,9
신촌동,패스트푸드,저렴한,10
신촌동,카페,맛있는,1
신촌동,카페,친절한,2
신촌동,카페,커피,3
신촌동,카페,음료,4
신촌동,카페,분위기,5
신촌동,카페,넓은,6
신촌동,카페,가성비,7
신촌동,카페,공부하기 좋은,8
신촌동,카페,빵,9
신촌동,카페,라떼,10
신촌동,중식,맛있는,1
신촌동,중식,친절한,2
신촌동,중식,마라탕,3
신촌동,중식,꿔바로우,4
신촌동,중식,맛집,5
신촌동,중식,꼬치,6
신촌동,중식,깔끔한,7
신촌동,중식,매운,8
신촌동,중식,짬뽕,9
신촌동,중식,고기,10
신촌동,주점,맛있는,1
신촌동,주점,분위기,2
신촌동,주점,친절한,3
신촌동,주점,안주,4
신촌동,주점,술,5
신촌동,주점,다양한,6
신촌동,주점,추천,7
신촌동,주점,맛집,8
신촌동,주점,맥주,9
신촌동,주점,분위기 좋은,10
신촌동,일식,맛있는,1
신촌동,일식,친절한,2
신촌동,일식,맛집,3
신촌동,일식,깔끔한,4
신촌동,일식,가성비,5
신촌동,일식,돈까스,6
신촌동,일식,연어,7
신촌동,일식,신선한,8
신촌동,일식,추천,9
신촌동,일식,소스,10
신촌동,서양식,맛있는,1
신촌동,서양식,친절한,2
신촌동,서양식,파스타,3
신촌동,서양식,소스,4
신촌동,서양식,가성비,5
신촌동,서양식,분위기,6
신촌동,서양식,맛집,7
신촌동,서양식,가성비 좋은,8
신촌동,서양식,돈까스,9
신촌동,서양식,스테이크,10
신촌동,분식,맛있는,1
신촌동,분식,떡볶이,2
신촌동,분식,김밥,3
신촌동,분식,가성비 좋은,4
신촌동,분식,가성비,5
신촌동,분식,맛집,6
신촌동,분식,친절한,7
신촌동,분식,튀김,8
신촌동,분식,떡,9
신촌동,분식,참치김밥,10
신촌동,동남아시아,맛있는,1
신촌동,동남아시아,쌀국수,2
신촌동,동남아시아,친절한,3
신촌동,동남아시아,국물,4
신촌동,동남아시아,맛집,5
신촌동,동남아시아,가성비,6
신촌동,동남아시아,깔끔한,7
신촌동,동남아시아,커리,8
신촌동,동남아시아,세트,9
신촌동,동남아시아,서비스,10
성수2가제3동,한식,맛있는,1
성수2가제3동,한식,친절한,2
성수2가제3동,한식,고기,3
성수2가제3동,한식,맛집,4
성수2가제3동,한식,점심,5
성수2가제3동,한식,깨끗한,6
성수2가제3동,한식,가성비,7
성수2가제3동,한식,김치,8
성수2가제3동,한식,신선한,9
성수2가제3동,한식,가성비 좋은,10
성수2가제3동,패스트푸드,맛있는,1
성수2가제3동,패스트푸드,친절한,2
성수2가제3동,패스트푸드,버거,3
성수2가제3동,패스트푸드,햄버거,4
성수2가제3동,패스트푸드,치킨,5
성수2가제3동,패스트푸드,피자,6
성수2가제3동,패스트푸드,맛있는 피자,7
성수2가제3동,패스트푸드,분위기,8
성수2가제3동,패스트푸드,튀김,9
성수2가제3동,패스트푸드,파스타,10
성수2가제3동,카페,맛있는,1
성수2가제3동,카페,커피,2
